algorithm,gid,dataset,seed,status,valid_output,seconds,train_nmse,train_log_nmse_penalized,train_log_nmse_valid_only,valid_nmse,valid_log_nmse_penalized,valid_log_nmse_valid_only,id_test_nmse,id_test_log_nmse_penalized,id_test_log_nmse_valid_only,ood_test_nmse,ood_test_log_nmse_penalized,ood_test_log_nmse_valid_only,metric_complete
tpsr,g0005,Keijzer-11,3,ok,True,400.561,0.03027963948933005,-1.5188492998696754,-1.5188492998696754,1.6804273490176243,0.22541974108232282,0.22541974108232282,3.065492995345121,0.4865003281010162,0.4865003281010162,3.349352220782049,0.5249608207254965,0.5249608207254965,True
tpsr,g0017,strogatz_shearflow1,3,ok,True,626.419,0.20358824808085807,-0.6912472948074687,-0.6912472948074687,0.08181836935006315,-1.0871491802926259,-1.0871491802926259,0.23723733711602044,-0.6248169593744503,-0.6248169593744503,4.431008637959057,0.6465025966608823,0.6465025966608823,True
tpsr,g0046,II.6.15b_3_0,3,ok,True,1876.75,0.10606068076077178,-0.9744455896472332,-0.9744455896472332,0.12440351166320762,-0.9051673602044609,-0.9051673602044609,0.10975593452771933,-0.9595719880520235,-0.9595719880520235,0.03992867717689967,-1.3987150775915205,-1.3987150775915205,True
tpsr,g0044,feynman-i.15.3t,3,ok,True,3603.401,1.3234585497484098e+16,12.0,12.0,1.1302361789456294e+16,12.0,12.0,1.380906445931627e+16,12.0,12.0,1.7290543124912523e+19,12.0,12.0,True
tpsr,g0023,I.11.19_4_0,3,ok,True,3606.166,0.33016064944606766,-0.4812746898461539,-0.4812746898461539,0.33556746378496727,-0.47422015446925186,-0.47422015446925186,0.3303861731828078,-0.480978136400267,-0.480978136400267,0.3613128175276801,-0.4421166316154678,-0.4421166316154678,True
tpsr,g0006,Keijzer-2,3,ok,True,321.531,0.8469358777917905,-0.07214946921517347,-0.07214946921517347,1.1774903549212805,0.07095735841526835,0.07095735841526835,0.8389386522992732,-0.07626979595558793,-0.07626979595558793,1.9854927974364907,0.29786831595831964,0.29786831595831964,True
tpsr,g0041,PO41,3,ok,True,1855.664,0.019778157210172245,-1.7038141753645288,-1.7038141753645288,0.021835584909565338,-1.6608351701454644,-1.6608351701454644,0.018769697483773946,-1.7265427269623728,-1.7265427269623728,265.8160146140225,2.424581142329004,2.424581142329004,True
tpsr,g0026,strogatz_barmag1,3,ok,True,2187.83,0.593755677584464,-0.2263922245556003,-0.2263922245556003,0.661494670393668,-0.17947365053610984,-0.17947365053610984,0.5543525933548747,-0.2562139164277986,-0.2562139164277986,0.7397836674480286,-0.13089526103832583,-0.13089526103832583,True
tpsr,g0045,feynman-bonus.20,3,ok,True,2045.748,6243595118030779.0,12.0,12.0,7066449348592562.0,12.0,12.0,4265900987722993.0,12.0,12.0,25986408562471.15,12.0,12.0,True
tpsr,g0043,CRK33,3,ok,True,2033.619,0.6109848844904663,-0.21396953388769696,-0.21396953388769696,0.602946858169977,-0.21972096351585432,-0.21972096351585432,0.5898075637719062,-0.22928966229738093,-0.22928966229738093,2669.532349664237,3.4264351880504713,3.4264351880504713,True
tpsr,g0028,feynman-ii.4.23,3,ok,True,1256.153,0.0005030587238312673,-3.298381315247722,-3.298381315247722,0.0005243279265627035,-3.280397010436025,-3.280397010436025,0.00045631137632757353,-3.340738703669371,-3.340738703669371,0.0005582108252512414,-3.253201745594982,-3.253201745594982,True
tpsr,g0035,feynman-i.32.5,3,ok,True,1439.375,0.7901612063668867,-0.1022842961862953,-0.1022842961862953,0.7699670282234029,-0.11352787192781237,-0.11352787192781237,0.7842185013102685,-0.10556291602436647,-0.10556291602436647,0.8919438483219007,-0.04966248545744754,-0.04966248545744754,True
tpsr,g0033,feynman-iii.10.19,3,ok,True,3536.774,1.4118505518438273e+39,12.0,12.0,1.3002327777369594e+39,12.0,12.0,1.459671364909353e+39,12.0,12.0,1.0349849684994463e+33,12.0,12.0,True
tpsr,g0042,feynman_test_15,3,ok,True,3045.336,0.14861308752616165,-0.8279429429972851,-0.8279429429972851,0.14829901435999648,-0.8288617354142152,-0.8288617354142152,0.1475957338665194,-0.830926195256918,-0.830926195256918,0.42441403730058747,-0.3722102604413654,-0.3722102604413654,True
tpsr,g0031,II.11.27_1_0,3,ok,True,3438.464,0.9988519966324754,-0.000498857927831862,-0.000498857927831862,0.9954259376164717,-0.001991047119274303,-0.001991047119274303,0.9984844372921462,-0.0006586997976016435,-0.0006586997976016435,1.0001267421955893,5.503994830045419e-05,5.503994830045419e-05,True
tpsr,g0029,strogatz_vdp1,3,ok,True,418.369,0.9863332459192304,-0.005976328048516618,-0.005976328048516618,0.9812699024453236,-0.008211521650997351,-0.008211521650997351,1.0151235367611808,0.0065188974896028115,0.0065188974896028115,0.9936070615514498,-0.002785330631735678,-0.002785330631735678,True
tpsr,g0016,feynman_II_15_4,3,ok,True,2712.005,0.587375223121265,-0.23108437699718362,-0.23108437699718362,0.5884769271714164,-0.23027056017580846,-0.23027056017580846,0.5947330556011277,-0.2256779224958381,-0.2256779224958381,2.2331808251962677,0.3489238902032872,0.3489238902032872,True
tpsr,g0034,CRK11,3,ok,True,516.749,1.1511624674621461,0.06113662140821819,0.06113662140821819,0.9921634655431705,-0.0034167690405376917,-0.0034167690405376917,0.9881877101852492,-0.005160551612276598,-0.005160551612276598,11.33756321392438,1.0545197215351418,1.0545197215351418,True
tpsr,g0002,first_principles_hubble,3,ok,True,224.836,0.12824432379200654,-0.8919618480513404,-0.8919618480513404,0.12984772419023602,-0.8865656577426784,-0.8865656577426784,0.08630834719978728,-1.06394720002638,-1.06394720002638,0.08057667722379903,-1.0937906457726894,-1.0937906457726894,True
tpsr,g0003,feynman-ii.27.18,3,ok,True,2770.413,0.783422785909848,-0.1060038011172303,-0.1060038011172303,0.784550141547435,-0.1053792949049875,-0.1053792949049875,0.7649597525841711,-0.11636141411490705,-0.11636141411490705,0.8259222691595624,-0.08306082394303124,-0.08306082394303124,True
tpsr,g0039,CRK0,3,ok,True,541.641,0.887093904331214,-0.05203040499997885,-0.05203040499997885,0.8921570936569776,-0.04955866703487126,-0.04955866703487126,0.8718967864293885,-0.05953492302296691,-0.05953492302296691,86.58832469158128,1.9374593370075042,1.9374593370075042,True
