Pol,n,epsilon,Ef,alpha
1.8890217542648315,0.1150545626878738,1.8348422050476076,1.989011526107788,3.836815357208252
4.7947778701782235,0.6090665459632874,1.1047960519790647,1.5495446920394895,2.378213167190552
3.6917293071746826,0.1333909630775451,1.7446404695510864,1.2814472913742063,7.98444366455078
3.0192933082580566,0.2405896186828613,1.3605008125305176,1.077289581298828,5.076508522033691
0.7869763970375061,0.3271390497684478,1.3593108654022217,1.4444694519042969,1.0807905197143557
0.7868547439575195,0.85913747549057,1.6092383861541748,1.472808003425598,0.3479226231575012
0.2930714190006256,0.666090190410614,1.3937795162200928,1.0485219955444336,0.2822063267230987
4.368435859680176,0.5411621928215026,1.4090726375579834,1.1633244752883911,2.6078834533691406
3.031682014465332,0.0290138237178325,1.5099023580551147,1.1159507036209106,38.76442337036133
3.571089267730713,0.7337483167648315,1.7101479768753052,1.627391695976257,1.2248603105545044
0.103956252336502,0.3949500322341918,1.9605262279510496,1.856182098388672,0.0716472268104553
4.891584396362305,0.8020471334457397,1.4566210508346558,1.6501023769378662,1.5118293762207031
4.19831132888794,0.2544211149215698,1.4276515245437622,1.990721702575684,3.890474796295166
0.9171226024627684,0.8666486144065856,1.2178988456726074,1.6182944774627686,0.4648282825946807
1.534496188163757,0.4049894511699676,1.9433506727218628,1.9760032892227173,0.8707159757614135
2.646591186523437,0.3160964846611022,1.881824254989624,1.6730680465698242,2.0772831439971924
2.178525686264038,0.0766626968979835,1.646410584449768,1.4405308961868286,9.17305278778076
1.468868613243103,0.8432247042655944,1.2138248682022097,1.2896873950958252,0.847640037536621
3.085835218429565,0.8489391207695007,1.6368319988250732,1.5096997022628784,1.0386298894882202
0.7036387920379638,0.9714651107788084,1.1391462087631226,1.1124608516693115,0.4822918474674224
1.4734857082366943,0.385376900434494,1.458704113960266,1.2269548177719116,1.676289677619934
1.8477771282196045,0.9544880986213684,1.873863220214844,1.4785523414611816,0.5716419219970703
2.300192356109619,0.4457583725452423,1.258450269699097,1.2427581548690796,2.214022159576416
3.959936380386353,0.6697246432304382,1.6648510694503784,1.3879824876785278,1.6285234689712524
1.0071375370025637,0.082500047981739,1.862674355506897,1.818873405456543,3.2784008979797363
