K,Selector,Coverage,Mean info,Rank fidelity,Pairwise win agreement,Aggregate error,Stability,Non-redundancy,Difficulty balance
20,top-info,0.7686038927757883,0.7736983012193003,1.0,1.0,2.665447070031867,0.9527253521191248,1.0,0.8493975903614458
20,random avg,0.8712095500359986,0.185521697289398,0.935,0.9458333333333334,0.804773290895467,0.6957781034246567,0.98125,0.8560015060240964
30,top-info,0.787434076265201,0.7424920159696644,1.0,1.0,3.0089640075148414,0.9256804557308774,0.8666666666666667,0.7993975903614459
30,random avg,0.8578081963818326,0.1913404418251851,0.995,0.9958333333333332,0.5835480022399324,0.6953067893480985,0.9766666666666668,0.8931601405622491
40,top-info,0.7841797144288929,0.7130685999652316,1.0,1.0,2.384716651097353,0.9296255677607002,0.875,0.7993975903614458
40,random avg,0.8456536821905685,0.1873550054415147,0.98,0.9833333333333334,0.6604394992789946,0.699482469862673,0.96875,0.9005798192771085
50,top-info,0.7838253535634043,0.691334027227424,1.0,1.0,2.176661327251424,0.9113512097970728,0.86,0.7803012048192771
50,random avg,0.8322156461132583,0.1899025266466398,0.965,0.9708333333333332,0.5173310943004104,0.6976444494090236,0.9675,0.906296686746988
60,top-info,0.7848381688684984,0.6726524083504963,1.0,1.0,2.5128552402203903,0.9100572146574174,0.8166666666666667,0.7669678714859438
60,random avg,0.8287774424106452,0.186992265507902,1.0,1.0,0.4812471300185721,0.7068437169403535,0.9545833333333332,0.9233032128514056
80,top-info,0.8183721831389479,0.6396825604126531,1.0,1.0,2.5652841596929536,0.9096336554704544,0.8125,0.7493975903614458
80,random avg,0.822793277533091,0.1913357764328818,1.0,1.0,0.378401884429101,0.7045313090790503,0.9428125,0.9337989457831324
100,top-info,0.8246764732277583,0.611509187131324,1.0,1.0,2.4085561211302093,0.9008103455732436,0.77,0.7393975903614458
100,random avg,0.8183507537240416,0.1921896739242291,1.0,1.0,0.3739543509925787,0.7032940647463651,0.936,0.9396897590361444
