algorithm,gid,dataset,n_runs,valid_rate,median_id_nmse,median_ood_nmse,ID_Q_component,q_ood,ood_retention,OOD_G_component,final_quality,median_seconds,EFF_component,id_log_iqr,ood_log_iqr,numeric_stability,SYM_F_proxy_component,parse_rate,numeric_equiv_proxy_rate,structural_consistency_proxy,q_perf_proxy,pure_stab_proxy,STAB_proxy_component,SYM_F_component,ROB_component,q_perf_formal,STAB_component,HexaScore_formal_with_ROB_component
drsr,g0001,II.34.2_1_0,5,1.0,0.0376008376300645,0.2832693011247646,0.2446287485878742,0.1819857492090378,0.7807495021765771,0.3616148750992996,0.213307248898456,3904.138,0.0746575371144596,0.3782697699822648,0.4841305496485287,0.8562666133948678,0.0,1.0,0.0,0.0,0.2063359619649395,0.6425066453579471,0.2918536219915361,0.1754285714285714,0.3940261016361219,0.258964533393511,0.32696236678944696,23.03165188792153
drsr,g0002,first_principles_hubble,5,1.0,0.0434055335899592,0.0746860560893503,0.2401753500407613,0.2233400338239742,0.9410763932422932,0.4386609416494699,0.2317576919323677,3902.324,0.0811151921763287,0.4600709498081468,0.3932281837614241,0.8577834777384048,0.0,1.0,0.0,0.0,0.2276684225111455,0.6431133910953619,0.3068590610873524,0.15,0.4104010597801791,0.2726684225111455,0.3358187768614039,23.68794493075112
drsr,g0003,feynman-ii.27.18,5,1.0,0.0007921296338634,0.0002942602598394,0.3643716956634686,0.3950905989908008,1.0,0.5765634192935605,0.3797311473271347,3902.545,0.1329059015644971,2.4031253205802057,3.992865918389826,0.0994791132366323,0.0,1.0,0.0,0.0,0.3187177040534555,0.3397916452946529,0.1918296747586148,0.4786666666666667,0.33332322122849856,0.46231770405345557,0.23103775650669292,31.77505295710757
drsr,g0004,Korns-4,5,1.0,0.0016832630781627,0.0019579682987189,0.3409891430416409,0.3362995960069411,0.9835865853876004,0.5304856928211389,0.338644369524291,3901.907,0.1185255293335018,0.0429987295865328,0.0382949055087409,0.9864510608174544,0.0,1.0,0.0,0.0,0.295541365062998,0.6945804243269817,0.3775997314000945,0.1131428571428571,0.5364421514445673,0.3294842222058551,0.39869413825672084,28.346710587982177
drsr,g0005,Keijzer-11,5,1.0,2.383322082833684,2.376589236072854,0.1159155187861359,0.1160032767280069,1.0,0.3812022937096048,0.1159593977570714,3902.086,0.0405857892149749,0.3442215899312281,0.4876400032464699,0.8613564011370503,0.0,1.0,0.0,0.0,0.1607268956273358,0.6445425604548201,0.2584020044901977,0.1316666666666666,0.20556428409835462,0.20022689562733575,0.288411655204743,15.524509900519467
drsr,g0006,Keijzer-2,5,1.0,0.0476636942308191,8.413212316908615,0.2372723071556551,0.0767884393596188,0.4383064627161381,0.1852438463665746,0.157030373257637,3902.321,0.0549606306401729,0.4831442633498709,0.4597420223863601,0.8428522857106282,0.0,1.0,0.0,0.0,0.1504820767722344,0.6371409142842512,0.2471598269588856,0.1488311688311688,0.33004372162230106,0.19513142742158504,0.28144860805880645,17.945318495202283
drsr,g0007,Korns-2,5,1.0,1.1162170411254044,1.110705529207106,0.1394465251040861,0.1396000761545821,1.0,0.3977200533082075,0.1395233006293341,3901.568,0.0488331552202669,0.0134873050353526,0.0130367563506677,0.99557932310233,0.0,1.0,0.0,0.0,0.1750946260340967,0.698231729240932,0.2921702477137951,0.1571428571428571,0.26424219243985364,0.2222374831769538,0.3291608955882433,18.255798602620484
drsr,g0008,Nguyen-12,5,1.0,3.7625523374760332e-19,1.0851336636579621e-17,1.0,1.0,0.999998862688872,0.9999996588066616,1.0,3902.377,0.35,3.6569487922565855,4.956293937819277,0.0,0.6,1.0,0.6,0.1,0.8799998976419985,0.3299999999999999,0.3095674221445364,0.2533893557422969,0.3677104109057539,0.7760167043646876,0.2907029740221356,46.00467257358184
drsr,g0009,Nguyen-6,5,1.0,3.245825567642499e-09,0.0039252870772063,0.7491910587924614,0.314723469677318,0.0,0.2203064287741226,0.5319572642348898,3902.068,0.1861850424822114,1.9010451806546875,0.4115559684043615,0.6145664751568252,0.0,1.0,0.0,0.0,0.3657683521492214,0.54582659006273,0.330109293776431,0.1653333333333333,0.29100522342908436,0.41536835214922135,0.35178019911868497,28.35847397037433
drsr,g0010,Nguyen-9,5,1.0,0.0001908653942502,9.96916005076629e-05,0.408519486162601,0.4286672451090205,1.0,0.6000670715763143,0.4185933656358108,3901.967,0.1465076779725337,0.2560551472624999,1.2347895634046493,0.7515258815554751,0.0,1.0,0.0,0.0,0.3434279159379347,0.60061035262219,0.3519740220950976,0.1314285714285714,0.3951716844960149,0.38285648736650607,0.3716300459203712,29.749287155612098
