condition,algorithm,minute,expected_run_count,available_run_count,coverage_rate,mean_id_quality,mean_ood_quality,mean_quality,mean_relative_progress,cumulative_eff_score,diagnostic_available_mean_id_quality,diagnostic_available_mean_ood_quality,diagnostic_available_mean_quality,diagnostic_available_mean_relative_progress,diagnostic_available_cumulative_eff_score,native_eff_schema_version,formal_ready
noise005,drsr,1,150,150,1.0,0.21515642175330163,0.1535928611130567,0.18437464143317916,0.6297694612780971,62.97694612780971,0.21515642175330163,0.1535928611130567,0.18437464143317916,0.6297694612780971,62.97694612780971,algorithm_native_internal_best_so_far.v1,true
noise005,drsr,2,150,150,1.0,0.2415982865835626,0.17004327493650262,0.2058207807600325,0.7020695387531395,66.59195000156183,0.2415982865835626,0.17004327493650262,0.2058207807600325,0.7020695387531395,66.59195000156183,algorithm_native_internal_best_so_far.v1,true
noise005,drsr,3,150,150,1.0,0.24411689281848292,0.1681879448635336,0.2061524188410081,0.699301737630499,67.70469125539118,0.24411689281848292,0.1681879448635336,0.2061524188410081,0.699301737630499,67.70469125539118,algorithm_native_internal_best_so_far.v1,true
noise005,drsr,4,150,150,1.0,0.24959258927107456,0.17165302918652353,0.21062280922879892,0.7168225819462393,68.69908299019937,0.24959258927107456,0.17165302918652353,0.21062280922879892,0.7168225819462393,68.69908299019937,algorithm_native_internal_best_so_far.v1,true
noise005,drsr,5,150,150,1.0,0.25273732510792274,0.17457286078202677,0.21365509294497467,0.7244344185696706,69.4479547635529,0.25273732510792274,0.17457286078202677,0.21365509294497467,0.7244344185696706,69.4479547635529,algorithm_native_internal_best_so_far.v1,true
noise005,drsr,6,150,150,1.0,0.25370613182017626,0.17411872141268206,0.21391242661642912,0.7258369616905503,69.9705783311366,0.25370613182017626,0.17411872141268206,0.21391242661642912,0.7258369616905503,69.9705783311366,algorithm_native_internal_best_so_far.v1,true
noise005,drsr,7,150,150,1.0,0.2566409226399759,0.17674061580864314,0.21669076922430952,0.7389622182663473,70.53138454477919,0.2566409226399759,0.17674061580864314,0.21669076922430952,0.7389622182663473,70.53138454477919,algorithm_native_internal_best_so_far.v1,true
noise005,drsr,8,150,150,1.0,0.2582514378016855,0.1788285407042064,0.21853998925294596,0.7439863511655858,71.01479086625162,0.2582514378016855,0.1788285407042064,0.21853998925294596,0.7439863511655858,71.01479086625162,algorithm_native_internal_best_so_far.v1,true
noise005,drsr,9,150,150,1.0,0.26049083254770894,0.18032801733622922,0.22040942494196902,0.7472008938775154,71.42649070197382,0.26049083254770894,0.18032801733622922,0.22040942494196902,0.7472008938775154,71.42649070197382,algorithm_native_internal_best_so_far.v1,true
noise005,drsr,10,150,150,1.0,0.26437244602661825,0.1855196987506007,0.22494607238860956,0.7613175580454827,71.89701721223126,0.26437244602661825,0.1855196987506007,0.22494607238860956,0.7613175580454827,71.89701721223126,algorithm_native_internal_best_so_far.v1,true
noise005,drsr,11,150,150,1.0,0.26736352572471417,0.18575332950468157,0.22655842761469785,0.7648913017646536,72.31448202716165,0.26736352572471417,0.18575332950468157,0.22655842761469785,0.7648913017646536,72.31448202716165,algorithm_native_internal_best_so_far.v1,true
noise005,drsr,12,150,150,1.0,0.2717510599390325,0.18847642392997083,0.23011374193450165,0.7727097416691127,72.72752303880745,0.2717510599390325,0.18847642392997083,0.23011374193450165,0.7727097416691127,72.72752303880745,algorithm_native_internal_best_so_far.v1,true
noise005,drsr,13,150,150,1.0,0.27263785418596354,0.18802874339606937,0.23033329879101647,0.7716948286004478,73.0692122558257,0.27263785418596354,0.18802874339606937,0.23033329879101647,0.7716948286004478,73.0692122558257,algorithm_native_internal_best_so_far.v1,true
noise005,drsr,14,150,150,1.0,0.27508374483218434,0.19376868279809667,0.2344262138151406,0.7848863100068285,73.45631359474407,0.27508374483218434,0.19376868279809667,0.2344262138151406,0.7848863100068285,73.45631359474407,algorithm_native_internal_best_so_far.v1,true
noise005,drsr,15,150,150,1.0,0.27589104614160714,0.1948388518341446,0.23536494898787585,0.7880281751033199,73.8127471891166,0.27589104614160714,0.1948388518341446,0.23536494898787585,0.7880281751033199,73.8127471891166,algorithm_native_internal_best_so_far.v1,true
noise005,drsr,16,150,150,1.0,0.2752388120850788,0.19610791254445947,0.23567336231476915,0.7899157193090098,74.13642373547812,0.2752388120850788,0.19610791254445947,0.23567336231476915,0.7899157193090098,74.13642373547812,algorithm_native_internal_best_so_far.v1,true
noise005,drsr,17,150,150,1.0,0.2804511010135214,0.19947729499816474,0.2399641980058431,0.8043839196129113,74.50712774876125,0.2804511010135214,0.19947729499816474,0.2399641980058431,0.8043839196129113,74.50712774876125,algorithm_native_internal_best_so_far.v1,true
noise005,drsr,18,150,150,1.0,0.27975755326412527,0.19782796509508138,0.23879275917960338,0.796145676539406,74.7908744101601,0.27975755326412527,0.19782796509508138,0.23879275917960338,0.796145676539406,74.7908744101601,algorithm_native_internal_best_so_far.v1,true
noise005,drsr,19,150,150,1.0,0.28164581264538086,0.201479603715995,0.24156270818068795,0.8017257403150744,75.07412175865205,0.28164581264538086,0.201479603715995,0.24156270818068795,0.8017257403150744,75.07412175865205,algorithm_native_internal_best_so_far.v1,true
