condition,algorithm,minute,expected_run_count,available_run_count,coverage_rate,mean_id_quality,mean_ood_quality,mean_quality,mean_relative_progress,cumulative_eff_score,diagnostic_available_mean_id_quality,diagnostic_available_mean_ood_quality,diagnostic_available_mean_quality,diagnostic_available_mean_relative_progress,diagnostic_available_cumulative_eff_score,native_eff_schema_version,formal_ready
clean,drsr,1,150,150,1.0,0.23841217067992745,0.17168859258202165,0.20505038163097444,0.5545666657144772,55.45666657144772,0.23841217067992745,0.17168859258202165,0.20505038163097444,0.5545666657144772,55.45666657144772,algorithm_native_internal_best_so_far.v1,true
clean,drsr,2,150,150,1.0,0.2847527194197522,0.20850983102767257,0.2466312752237123,0.6240844699209307,58.932556781770394,0.2847527194197522,0.20850983102767257,0.2466312752237123,0.6240844699209307,58.932556781770394,algorithm_native_internal_best_so_far.v1,true
clean,drsr,3,150,150,1.0,0.2945178134066847,0.21674409928100616,0.2556309563438454,0.6462082422798959,60.828645930510135,0.2945178134066847,0.21674409928100616,0.2556309563438454,0.6462082422798959,60.828645930510135,algorithm_native_internal_best_so_far.v1,true
clean,drsr,4,150,150,1.0,0.3039409931349708,0.22331007461846372,0.2636255338767172,0.6561724821361427,62.025796501286166,0.3039409931349708,0.22331007461846372,0.2636255338767172,0.6561724821361427,62.025796501286166,algorithm_native_internal_best_so_far.v1,true
clean,drsr,5,150,150,1.0,0.3136633793095668,0.22944429082739076,0.27155383506847874,0.6665104296209391,62.95084579344772,0.3136633793095668,0.22944429082739076,0.27155383506847874,0.6665104296209391,62.95084579344772,algorithm_native_internal_best_so_far.v1,true
clean,drsr,6,150,150,1.0,0.32932217585429524,0.24583272996666447,0.28757745291047987,0.6864197356356635,63.89936708846748,0.32932217585429524,0.24583272996666447,0.28757745291047987,0.6864197356356635,63.89936708846748,algorithm_native_internal_best_so_far.v1,true
clean,drsr,7,150,150,1.0,0.33141830162959596,0.2450404444405974,0.2882293730350967,0.6855478816636175,64.56442724245238,0.33141830162959596,0.2450404444405974,0.2882293730350967,0.6855478816636175,64.56442724245238,algorithm_native_internal_best_so_far.v1,true
clean,drsr,8,150,150,1.0,0.33522521653677173,0.25311559449184706,0.2941704055143094,0.6986257624136636,65.22669586731664,0.33522521653677173,0.25311559449184706,0.2941704055143094,0.6986257624136636,65.22669586731664,algorithm_native_internal_best_so_far.v1,true
clean,drsr,9,150,150,1.0,0.34356682586950615,0.2617029811163141,0.3026349034929103,0.7088473275358813,65.8553666324579,0.34356682586950615,0.2617029811163141,0.3026349034929103,0.7088473275358813,65.8553666324579,algorithm_native_internal_best_so_far.v1,true
clean,drsr,10,150,150,1.0,0.3584160095875506,0.27818417394344674,0.31830009176549867,0.7279963791611316,66.54979376082343,0.3584160095875506,0.27818417394344674,0.31830009176549867,0.7279963791611316,66.54979376082343,algorithm_native_internal_best_so_far.v1,true
clean,drsr,11,150,150,1.0,0.36835549193793854,0.2845318417338219,0.3264436668358802,0.7427453285988002,67.25204276982858,0.36835549193793854,0.2845318417338219,0.3264436668358802,0.7427453285988002,67.25204276982858,algorithm_native_internal_best_so_far.v1,true
clean,drsr,12,150,150,1.0,0.36939247921183205,0.2849059619688293,0.32714922059033075,0.7445168158783912,67.85201267132946,0.36939247921183205,0.2849059619688293,0.32714922059033075,0.7445168158783912,67.85201267132946,algorithm_native_internal_best_so_far.v1,true
clean,drsr,13,150,150,1.0,0.37643540860388974,0.2903676697593892,0.33340153918163973,0.7539875378573085,68.43253121859111,0.37643540860388974,0.2903676697593892,0.33340153918163973,0.7539875378573085,68.43253121859111,algorithm_native_internal_best_so_far.v1,true
clean,drsr,14,150,150,1.0,0.38163238109467795,0.29768327430216107,0.3396578276984198,0.7664016464397514,69.01879074897569,0.38163238109467795,0.29768327430216107,0.3396578276984198,0.7664016464397514,69.01879074897569,algorithm_native_internal_best_so_far.v1,true
