E_n,m,c,v
195.25221252441406,1.4602183103561401,8.8438949584960938,-7.1730961799621582
476.63568115234375,3.4362661838531494,3.7335727214813232,-3.7146713733673096
369.82025146484375,1.5335638523101807,8.2124834060668945,-7.8847517967224121
304.703857421875,1.9623584747314453,5.523505687713623,-5.415834903717041
88.533897399902344,2.3085563182830811,5.5151758193969727,-3.3589625358581543
435.35018920898438,3.1646487712860107,5.8635082244873047,-5.6774377822875977
305.90353393554688,1.1160552501678467,6.5693168640136719,-6.4873781204223633
358.13787841796875,3.9349932670593262,7.9710359573364258,-5.7071938514709473
486.0101318359375,4.208188533782959,6.196347713470459,-5.8439130783081055
418.87591552734375,2.0176844596862793,5.993560791015625,-5.9031500816345215
116.03886413574219,1.2275397777557373,3.7942459583282471,-3.7499868869781494
101.13681030273438,4.4665946960449219,4.525291919708252,-1.9308781623840332
268.61264038085938,2.2643859386444092,9.1727695465087891,-6.4660224914550781
223.28677368164062,1.3066507577896118,7.5248737335205078,-7.099761962890625
154.56600952148438,4.3728985786437988,4.4967737197875977,-3.6882410049438477
311.14752197265625,4.395756721496582,7.4578242301940918,-4.6128711700439453
80.463768005371094,4.8858604431152344,3.9740238189697266,-1.1267671585083008
155.01312255859375,2.5415077209472656,6.2109284400939941,-4.8109197616577148
235.06857299804688,2.7830333709716797,4.8091521263122559,-4.6253547668457031
395.79251098632812,3.6788985729217529,7.6539578437805176,-6.4196872711181641
109.85355377197266,1.3300001621246338,9.0387201309204102,-1.3293471336364746
263.47406005859375,4.5883941650390625,4.0419363975524902,-3.8748922348022461
301.654541015625,2.1920139789581299,6.9406495094299316,-6.5015144348144531
35.024574279785156,2.0492193698883057,4.1140866279602051,-0.5719228982925415
309.04364013671875,1.0205181837081909,4.2102646827697754,-4.2030453681945801
95.617874145507812,3.1728100776672363,3.7281606197357178,-3.3079726696014404
475.74258422851562,3.5454947948455811,6.1863250732421875,-5.9293699264526367
483.92098999023438,4.9128165245056152,8.5620241165161133,-5.7187466621398926
346.4954833984375,1.4160758256912231,6.6101617813110352,-6.5039157867431641
227.29501342773438,1.7236583232879639,3.41229248046875,-3.3989641666412354
254.16703796386719,2.6478118896484375,3.5075547695159912,-3.4786264896392822
456.42034912109375,3.688709020614624,8.0824050903320312,-6.864201545715332
335.8927001953125,2.1022350788116455,7.9716148376464844,-7.3140239715576172
266.322998046875,1.8275654315948486,9.5107192993164062,-7.4567618370056152
279.33413696289062,2.6176209449768066,9.1717090606689453,-5.6434464454650879
102.61631011962891,4.9742898941040039,3.6648039817810059,-2.7817051410675049
485.851318359375,3.9429082870483398,6.1954751014709473,-5.8872199058532715
390.88778686523438,2.7802455425262451,6.4490642547607422,-6.1604323387145996
471.15850830078125,3.2426526546478271,3.7628145217895508,-3.7449069023132324
449.34243774414062,2.645021915435791,4.076141357421875,-4.0565996170043945
462.55120849609375,2.5967874526977539,4.9009208679199219,-4.8561601638793945
108.05104064941406,3.8188624382019043,4.1496424674987793,-3.2926712036132812
171.2198486328125,3.1601378917694092,5.2214736938476562,-4.5122499465942383
202.15631103515625,1.8243273496627808,5.1519579887390137,-5.001978874206543
144.85725402832031,1.7966458797454834,5.9543862342834473,-5.347783088684082
417.06646728515625,4.182955265045166,5.3169746398925781,-5.0987758636474609
186.56575012207031,2.1613311767578125,6.9765276908874512,-5.7617278099060059
149.53846740722656,3.6238512992858887,3.6669926643371582,-3.4668347835540771
277.37374877929688,2.1984670162200928,8.5858421325683594,-6.9678635597229004
81.162307739257812,1.5779135227203369,4.8805947303771973,-4.3257017135620117
404.10498046875,2.6158266067504883,9.3799047470092773,-7.7100481986999512
494.3011474609375,1.9735920429229736,3.1110045909881592,-3.1086809635162354
389.47735595703125,3.3524162769317627,8.9757757186889648,-6.4670267105102539
410.5828857421875,3.8805866241455078,5.1626348495483398,-4.9961481094360352
357.54440307617188,3.781043529510498,6.9497466087341309,-5.9748458862304688
368.36163330078125,1.4109711647033691,7.158543586730957,-7.0192837715148926
389.00149536132812,4.7745695114135742,7.7656936645507812,-5.2216310501098633
433.84957885742188,3.3777966499328613,8.2139883041381836,-6.9894533157348633
316.73699951171875,4.8616342544555664,3.7621991634368896,-3.6723396778106689
164.21278381347656,2.9252133369445801,3.1277856826782227,-3.0799236297607422
171.14805603027344,2.1656906604766846,4.2803258895874023,-4.1637096405029297
368.65414428710938,1.2548822164535522,3.7887592315673828,-3.784233570098877
323.70074462890625,3.2784976959228516,8.97308349609375,-5.1934585571289062
445.62374877929688,1.0203331708908081,3.3391790390014648,-3.3380906581878662
242.95320129394531,3.4451103210449219,6.496002197265625,-5.2047061920166016
360.663818359375,4.5344057083129883,8.3530902862548828,-4.0101122856140137
383.88082885742188,4.8172779083251953,5.4323525428771973,-5.0461277961730957
388.85342407226562,1.73885178565979,5.0944414138793945,-5.0600161552429199
253.49244689941406,2.738713264465332,6.8579063415527344,-5.9066286087036133
267.6243896484375,4.5435981750488281,3.4028868675231934,-3.336479663848877
221.13600158691406,2.0201852321624756,7.1671476364135742,-6.328977108001709
27.688728332519531,1.4134100675582886,3.6923885345458984,-2.6514573097229004
323.14056396484375,2.9604387283325195,5.4134292602539062,-5.2146787643432617
165.86036682128906,1.1788176298141479,7.8247780799865723,-7.0450668334960938
260.70809936523438,2.2465097904205322,4.2751340866088867,-4.2217826843261719
455.56378173828125,4.0081586837768555,3.0177886486053467,-3.0080857276916504
134.08547973632812,3.8619964122772217,4.8728790283203125,-3.5550713539123535
381.32476806640625,4.107581615447998,5.9325408935546875,-5.4896702766418457
124.07689666748047,1.8609141111373901,5.2335247993469238,-4.7715520858764648
153.8443603515625,3.2090566158294678,5.1911764144897461,-4.2933998107910156
466.37188720703125,4.6899580955505371,3.9245786666870117,-3.877216100692749
406.99777221679688,4.3158450126647949,7.7410964965820312,-5.9772500991821289
321.6722412109375,2.5767920017242432,6.5686469078063965,-6.1638150215148926
437.93093872070312,3.3927526473999023,9.0019826889038086,-7.0068988800048828
404.82537841796875,2.7307922840118408,3.0025463104248047,-2.9969892501831055
448.23464965820312,2.9387459754943848,8.5460662841796875,-7.5026168823242188
275.73583984375,1.5130413770675659,3.4489774703979492,-3.441622257232666
