algorithm,algorithm_slug,dataset_id,condition,pair_520_521,pair_520_522,pair_521_522,pair_520_521_underlying,pair_520_522_underlying,pair_521_522_underlying,pair_520_521_audit_source,pair_520_522_audit_source,pair_521_522_audit_source,pair_520_521_evaluation_key,pair_520_522_evaluation_key,pair_521_522_evaluation_key,numerical_consistency,validity,structural_consistency,m_stab,structure_plan_artifact_sha256,structure_index_artifact_sha256,assembly_complete,unresolved_structure
drsr,drsr,BPG3,noise001,different_structure,different_structure,different_structure,different_structure,different_structure,different_structure,,,,542d1b17385931568e124ddb2a17f789c643759508bad1afdd955e2958e0fccc,86f2f3c809ec7cf58e3bdeeafeab8ae1e605739b26801549eea5040b34432738,8184775d04f7227444b05bfbd6764e72b4b575e707e6e1f2c26a04f954a25fae,0.9949177735502094,1.0,0.0,0.0,164ad0604e76cc826a35673b46c5f090dd829754b9af8dcad8c3238d046c7c3f,5d99ec560fcdd8c60d597144a4baabfebb973e7a174a08df632195e252e3fee5,true,false
drsr,drsr,BPG5,noise001,different_structure,different_structure,different_structure,different_structure,different_structure,different_structure,,,,bec580d1688a1daead9e9f848f227f4195cc72aa3f3a331ab1488f7e3e6b8601,88982bc5845ea8dd3a3c8e79502102a2347359926375a10ebab93bd31d6dd2a0,ed6d56934150103c1d3b586eae5fa19c54d74665999c5b26e1ede83f7814a51e,0.948858115672538,1.0,0.0,0.0,164ad0604e76cc826a35673b46c5f090dd829754b9af8dcad8c3238d046c7c3f,5d99ec560fcdd8c60d597144a4baabfebb973e7a174a08df632195e252e3fee5,true,false
drsr,drsr,BPG9,noise001,different_structure,different_structure,different_structure,different_structure,different_structure,different_structure,,,,5ae3b31d0b1d9a8c6fd76ec0990b361b5e74e9fc1bd5c62198338676ced5967a,149dcb7fedead64a8b4d387313c60cae0a7eb381873858af2833143610d4240d,27fc4f5b4700ef6c77d7dbe6b68b201e011b7bfdb40692dc6e905f37a31256e7,0.9144842480821012,1.0,0.0,0.0,164ad0604e76cc826a35673b46c5f090dd829754b9af8dcad8c3238d046c7c3f,5d99ec560fcdd8c60d597144a4baabfebb973e7a174a08df632195e252e3fee5,true,false
drsr,drsr,CRK0,noise001,different_structure,different_structure,different_structure,different_structure,different_structure,different_structure,,,,dbd84c1c639155ae16b2e01cc86428a6011b6e76d2d5e931e3b4727da7fda2e9,1c4fac909486a24f8fe2435fa9159c527cd447d08b4e6514ee7bca9db5821a12,7f74089116c65bfd8e129676f79a082b69cc46e0bcb1a785578658bab49ba4cc,0.9828070706883644,1.0,0.0,0.0,164ad0604e76cc826a35673b46c5f090dd829754b9af8dcad8c3238d046c7c3f,5d99ec560fcdd8c60d597144a4baabfebb973e7a174a08df632195e252e3fee5,true,false
drsr,drsr,CRK10,noise001,different_structure,different_structure,different_structure,different_structure,different_structure,different_structure,,,,c09af517d7daddfd28976021ea5718c722b3897b85ad4164ed44d0bf8ac484c4,58233195cb3a84a56a8fccb6cf4a2397e03b00b4b279d4498b33e71dbbac5ede,d56fd0f6222a379924e8329ec2eb89731c831f3f1ccd1fe8a4c2a3f934857980,0.9665720152680367,1.0,0.0,0.0,164ad0604e76cc826a35673b46c5f090dd829754b9af8dcad8c3238d046c7c3f,5d99ec560fcdd8c60d597144a4baabfebb973e7a174a08df632195e252e3fee5,true,false
drsr,drsr,CRK11,noise001,different_structure,same_canonical_structure,different_structure,different_structure,same_canonical_structure,different_structure,,,,0be025980745dd6af22f57109dbe5ddf00b73677ece21644a2a9c18b9df442b9,dcf132fc5246255dc2639de3a7fe6eaa22dd2cb7c80102efca769419bdb5f41a,838c4a60757bdd667cc7f02f320335d7cad9e8d50ccf92b96f7f40a49624563a,0.9714934243794583,1.0,0.3333333333333333,0.6867092070348677,164ad0604e76cc826a35673b46c5f090dd829754b9af8dcad8c3238d046c7c3f,5d99ec560fcdd8c60d597144a4baabfebb973e7a174a08df632195e252e3fee5,true,false
drsr,drsr,CRK33,noise001,different_structure,different_structure,different_structure,different_structure,different_structure,different_structure,,,,98f0c6a2f3bfbf627d91bd35af788926e6a04394460b303bd58ab87f1f79daf3,41c77a2525294fdc779cf050254363ea5bcf980729ad55139e6afe832b82b5c3,26219e4d83d220b0bd935cfc346ee502544ec005371a4d8d86ab4b251d12f8fe,0.973000473622302,1.0,0.0,0.0,164ad0604e76cc826a35673b46c5f090dd829754b9af8dcad8c3238d046c7c3f,5d99ec560fcdd8c60d597144a4baabfebb973e7a174a08df632195e252e3fee5,true,false
drsr,drsr,CRK34,noise001,different_structure,different_structure,different_structure,different_structure,different_structure,different_structure,,,,ae636bf0aa11bf3c2c1c694380a790c7ba096c7c97e24a6b2e2d122990cd602d,766306deb7f07ad680e1cd2bc2f5f8dc2a7e51a44e39924dbc68c2296cdd7661,e12b18c1c15c367eb735decadc97dd90b5547334a70e34f328a814dade5b61af,0.9598100767253581,1.0,0.0,0.0,164ad0604e76cc826a35673b46c5f090dd829754b9af8dcad8c3238d046c7c3f,5d99ec560fcdd8c60d597144a4baabfebb973e7a174a08df632195e252e3fee5,true,false
drsr,drsr,I.11.19_4_0,noise001,different_structure,different_structure,different_structure,different_structure,different_structure,different_structure,,,,2a0095dd4b4e2f685cec41cb9593e91178c1db3cd88ccec00f3dbbc3280dc7cf,3008b72c1da3fc0add1ff689e5f7772ea263bfd4f8a80a86fc8a8a7e11a49378,e5a6b5d069b138666fd02ba1448de286523bdafcd919fb7f3a8468bb9c8ba9b5,0.9890075639393338,1.0,0.0,0.0,164ad0604e76cc826a35673b46c5f090dd829754b9af8dcad8c3238d046c7c3f,5d99ec560fcdd8c60d597144a4baabfebb973e7a174a08df632195e252e3fee5,true,false
drsr,drsr,II.11.27_1_0,noise001,different_structure,different_structure,different_structure,different_structure,different_structure,different_structure,,,,2d13a23a8421fa9a74a7492d3c0127165750c52cee0ea165dc34d12eb88cd78d,495417d8ff62a1cefc028eb7c4793e9bf98a1f7796db0ce3d25218f96c41deee,dcb46d409ca3c05fdc1307c54f949cf4e096be7225aeb7bb6d3f0522cbbb2aad,0.951569792201166,1.0,0.0,0.0,164ad0604e76cc826a35673b46c5f090dd829754b9af8dcad8c3238d046c7c3f,5d99ec560fcdd8c60d597144a4baabfebb973e7a174a08df632195e252e3fee5,true,false
