algorithm,algorithm_slug,condition,run_count,task_count,eff_available_run_count,eff_unavailable_run_count,stab_available_task_count,stab_unavailable_task_count,ID,OOD,SYM,MIN,EFF,STAB,assembly_complete,formal_ready,trajectory_formal_ready,trajectory_bases
drsr,drsr,noise001,150,50,150,0,50,0,39.125714346874005,28.581870376005458,32.45793688659055,48.88160836739098,81.98324595631972,6.86894240124399,true,true,true,algorithm_native_internal_best_so_far.v1
dso,dso,noise001,150,50,150,0,50,0,33.64990651619269,28.86722249780308,39.29622962307694,78.84164017917,91.22810948361507,15.027828120919754,true,true,true,algorithm_native_internal_best_so_far.v1
e2esr,e2esr,noise001,150,50,150,0,50,0,8.273741625833223,8.031977485458164,30.47970935443577,50.74071111327405,59.044996670930665,23.68187611224603,true,true,true,algorithm_native_internal_best_so_far.v1
fepysr,fepysr,noise001,150,50,150,0,50,0,37.029190777697615,30.849763182232053,29.715683274133074,83.75132138975678,89.58581614078639,19.983305933249646,true,true,true,algorithm_native_internal_best_so_far.v1
gplearn,gplearn,noise001,150,50,150,0,50,0,29.257205852539112,24.33100645008678,26.259691918307183,61.54609709196165,95.66190497458565,23.31362640253112,true,true,true,algorithm_native_internal_best_so_far.v1
iMCTS,imcts,noise001,150,50,150,0,50,0,54.680136986942394,48.935464102482065,37.165837090844484,72.23869780181488,88.6080541140443,18.07586635276023,true,true,true,algorithm_native_internal_best_so_far.v1
jaxsr,jaxsr,noise001,150,50,150,0,50,0,32.577957548240356,25.739213469303166,30.92495747602427,76.77560818954007,99.92592592592592,93.87952067828826,true,true,true,algorithm_native_internal_best_so_far.v1
llmsr,llmsr,noise001,150,50,150,0,50,0,41.22937409374635,30.319899090277527,29.70055441782568,45.24247499288702,77.71951526105131,4.122367248690182,true,true,true,algorithm_native_internal_best_so_far.v1
pyoperon,pyoperon,noise001,150,50,150,0,50,0,25.152924865657816,19.986667835314215,19.647036755649737,41.70911155898428,84.64512434409156,15.345693301183573,true,true,true,algorithm_native_internal_best_so_far.v1
pysr,pysr,noise001,150,50,150,0,50,0,42.30973912459163,37.77750381471293,27.695593676930198,61.44364118445711,72.28238073287878,13.341206316527456,true,true,true,algorithm_native_internal_best_so_far.v1
QLattice,qlattice,noise001,150,50,150,0,50,0,31.967382346677358,23.34507040938173,29.429050448965814,54.24320054369223,75.18612515802971,29.62260891720779,true,true,true,algorithm_native_internal_best_so_far.v1
ragsr,ragsr,noise001,150,50,150,0,50,0,6.5393818414173595,7.047643091951139,21.49882788002482,14.057762141997278,50.59629629629631,0.0,true,true,true,algorithm_native_internal_best_so_far.v1
symbolfit,symbolfit,noise001,150,50,150,0,50,0,43.59939230055164,34.22721805838648,28.36211376686831,36.073692989058934,88.55862993892623,2.7645775194097375,true,true,true,algorithm_native_internal_best_so_far.v1
tpsr,tpsr,noise001,150,50,150,0,50,0,8.363997357816086,8.068090884709589,29.57208727731724,44.22108756887113,58.6706840562704,12.899126059481016,true,true,true,algorithm_native_internal_best_so_far.v1
udsr,udsr,noise001,150,50,150,0,50,0,42.808548802454794,30.905932596755356,27.09309779316656,32.871446417507656,87.30208180478083,4.653015440276157,true,true,true,algorithm_native_internal_best_so_far.v1
