tool,machine,wave,global_index,slice_index,dataset_name,dataset_dir,dataset_rel,family,subgroup,basename,pool,selection_mode,candidate_advantage_side,train_csv,valid_csv,id_test_csv,ood_test_csv,metadata_yaml,formula_py
dso,anon-node-03,W4,59,1,feynman_II_38_3,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_38_3,sim-datasets-data/srbench1.0/feynman/feynman_II_38_3,srbench1.0,srbench1.0/feynman,feynman_II_38_3,A,strict,pysr,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_38_3/train.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_38_3/valid.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_38_3/id_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_38_3/ood_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_38_3/metadata.yaml,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_38_3/formula.py
dso,anon-node-03,W4,60,2,feynman-i.27.6,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.27.6,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.27.6,srsd,srsd/srsd-feynman_easy_dummy,feynman-i.27.6,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.27.6/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.27.6/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.27.6/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.27.6/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.27.6/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.27.6/formula.py
dso,anon-node-03,W4,61,3,feynman-ii.38.3,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.38.3,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.38.3,srsd,srsd/srsd-feynman_easy_dummy,feynman-ii.38.3,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.38.3/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.38.3/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.38.3/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.38.3/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.38.3/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.38.3/formula.py
dso,anon-node-03,W4,62,4,Keijzer-7,/home/anonymous/sim-datasets-data/keijzer/Keijzer-7,sim-datasets-data/keijzer/Keijzer-7,keijzer,keijzer,Keijzer-7,A,strict,pysr,/home/anonymous/sim-datasets-data/keijzer/Keijzer-7/train.csv,/home/anonymous/sim-datasets-data/keijzer/Keijzer-7/valid.csv,/home/anonymous/sim-datasets-data/keijzer/Keijzer-7/id_test.csv,/home/anonymous/sim-datasets-data/keijzer/Keijzer-7/ood_test.csv,/home/anonymous/sim-datasets-data/keijzer/Keijzer-7/metadata.yaml,/home/anonymous/sim-datasets-data/keijzer/Keijzer-7/formula.py
dso,anon-node-03,W4,63,5,feynman-bonus.11,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.11,sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.11,srsd,srsd/srsd-feynman_hard,feynman-bonus.11,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.11/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.11/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.11/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.11/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.11/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.11/formula.py
dso,anon-node-03,W4,64,6,feynman-i.39.10,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.39.10,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.39.10,srsd,srsd/srsd-feynman_medium_dummy,feynman-i.39.10,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.39.10/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.39.10/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.39.10/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.39.10/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.39.10/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.39.10/formula.py
dso,anon-node-03,W4,65,7,feynman-i.50.26,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.50.26,sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.50.26,srsd,srsd/srsd-feynman_hard,feynman-i.50.26,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.50.26/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.50.26/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.50.26/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.50.26/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.50.26/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.50.26/formula.py
dso,anon-node-03,W4,66,8,Nguyen-5,/home/anonymous/sim-datasets-data/nguyen/Nguyen-5,sim-datasets-data/nguyen/Nguyen-5,nguyen,nguyen,Nguyen-5,A,strict,pysr,/home/anonymous/sim-datasets-data/nguyen/Nguyen-5/train.csv,/home/anonymous/sim-datasets-data/nguyen/Nguyen-5/valid.csv,/home/anonymous/sim-datasets-data/nguyen/Nguyen-5/id_test.csv,/home/anonymous/sim-datasets-data/nguyen/Nguyen-5/ood_test.csv,/home/anonymous/sim-datasets-data/nguyen/Nguyen-5/metadata.yaml,/home/anonymous/sim-datasets-data/nguyen/Nguyen-5/formula.py
dso,anon-node-03,W4,67,9,Nguyen-6,/home/anonymous/sim-datasets-data/nguyen/Nguyen-6,sim-datasets-data/nguyen/Nguyen-6,nguyen,nguyen,Nguyen-6,A,strict,pysr,/home/anonymous/sim-datasets-data/nguyen/Nguyen-6/train.csv,/home/anonymous/sim-datasets-data/nguyen/Nguyen-6/valid.csv,/home/anonymous/sim-datasets-data/nguyen/Nguyen-6/id_test.csv,/home/anonymous/sim-datasets-data/nguyen/Nguyen-6/ood_test.csv,/home/anonymous/sim-datasets-data/nguyen/Nguyen-6/metadata.yaml,/home/anonymous/sim-datasets-data/nguyen/Nguyen-6/formula.py
dso,anon-node-03,W4,68,10,Nguyen-9,/home/anonymous/sim-datasets-data/nguyen/Nguyen-9,sim-datasets-data/nguyen/Nguyen-9,nguyen,nguyen,Nguyen-9,A,strict,pysr,/home/anonymous/sim-datasets-data/nguyen/Nguyen-9/train.csv,/home/anonymous/sim-datasets-data/nguyen/Nguyen-9/valid.csv,/home/anonymous/sim-datasets-data/nguyen/Nguyen-9/id_test.csv,/home/anonymous/sim-datasets-data/nguyen/Nguyen-9/ood_test.csv,/home/anonymous/sim-datasets-data/nguyen/Nguyen-9/metadata.yaml,/home/anonymous/sim-datasets-data/nguyen/Nguyen-9/formula.py
