tool,machine,wave,global_index,slice_index,dataset_name,dataset_dir,dataset_rel,family,subgroup,basename,pool,selection_mode,candidate_advantage_side,train_csv,valid_csv,id_test_csv,ood_test_csv,metadata_yaml,formula_py
dso,anon-node-06,W4,145,1,first_principles_rydberg,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_rydberg,sim-datasets-data/srbench2025/firstprinciples/first_principles_rydberg,srbench2025,srbench2025/firstprinciples,first_principles_rydberg,B,one-sided,llmsr,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_rydberg/train.csv,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_rydberg/valid.csv,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_rydberg/id_test.csv,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_rydberg/ood_test.csv,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_rydberg/metadata.yaml,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_rydberg/formula.py
dso,anon-node-06,W4,146,2,CRK17,/home/anonymous/sim-datasets-data/llm-srbench/chem_react/CRK17,sim-datasets-data/llm-srbench/chem_react/CRK17,llm-srbench,llm-srbench/chem_react,CRK17,B,one-sided,llmsr,/home/anonymous/sim-datasets-data/llm-srbench/chem_react/CRK17/train.csv,/home/anonymous/sim-datasets-data/llm-srbench/chem_react/CRK17/valid.csv,/home/anonymous/sim-datasets-data/llm-srbench/chem_react/CRK17/id_test.csv,/home/anonymous/sim-datasets-data/llm-srbench/chem_react/CRK17/ood_test.csv,/home/anonymous/sim-datasets-data/llm-srbench/chem_react/CRK17/metadata.yaml,/home/anonymous/sim-datasets-data/llm-srbench/chem_react/CRK17/formula.py
dso,anon-node-06,W4,147,3,MatSci25,/home/anonymous/sim-datasets-data/llm-srbench/matsci/MatSci25,sim-datasets-data/llm-srbench/matsci/MatSci25,llm-srbench,llm-srbench/matsci,MatSci25,B,one-sided,llmsr,/home/anonymous/sim-datasets-data/llm-srbench/matsci/MatSci25/train.csv,/home/anonymous/sim-datasets-data/llm-srbench/matsci/MatSci25/valid.csv,/home/anonymous/sim-datasets-data/llm-srbench/matsci/MatSci25/id_test.csv,/home/anonymous/sim-datasets-data/llm-srbench/matsci/MatSci25/ood_test.csv,/home/anonymous/sim-datasets-data/llm-srbench/matsci/MatSci25/metadata.yaml,/home/anonymous/sim-datasets-data/llm-srbench/matsci/MatSci25/formula.py
dso,anon-node-06,W4,148,4,MatSci11,/home/anonymous/sim-datasets-data/llm-srbench/matsci/MatSci11,sim-datasets-data/llm-srbench/matsci/MatSci11,llm-srbench,llm-srbench/matsci,MatSci11,B,one-sided,llmsr,/home/anonymous/sim-datasets-data/llm-srbench/matsci/MatSci11/train.csv,/home/anonymous/sim-datasets-data/llm-srbench/matsci/MatSci11/valid.csv,/home/anonymous/sim-datasets-data/llm-srbench/matsci/MatSci11/id_test.csv,/home/anonymous/sim-datasets-data/llm-srbench/matsci/MatSci11/ood_test.csv,/home/anonymous/sim-datasets-data/llm-srbench/matsci/MatSci11/metadata.yaml,/home/anonymous/sim-datasets-data/llm-srbench/matsci/MatSci11/formula.py
dso,anon-node-06,W4,149,5,PO32,/home/anonymous/sim-datasets-data/llm-srbench/phys_osc/PO32,sim-datasets-data/llm-srbench/phys_osc/PO32,llm-srbench,llm-srbench/phys_osc,PO32,B,one-sided,llmsr,/home/anonymous/sim-datasets-data/llm-srbench/phys_osc/PO32/train.csv,/home/anonymous/sim-datasets-data/llm-srbench/phys_osc/PO32/valid.csv,/home/anonymous/sim-datasets-data/llm-srbench/phys_osc/PO32/id_test.csv,/home/anonymous/sim-datasets-data/llm-srbench/phys_osc/PO32/ood_test.csv,/home/anonymous/sim-datasets-data/llm-srbench/phys_osc/PO32/metadata.yaml,/home/anonymous/sim-datasets-data/llm-srbench/phys_osc/PO32/formula.py
dso,anon-node-06,W4,150,6,CRK28,/home/anonymous/sim-datasets-data/llm-srbench/chem_react/CRK28,sim-datasets-data/llm-srbench/chem_react/CRK28,llm-srbench,llm-srbench/chem_react,CRK28,B,one-sided,llmsr,/home/anonymous/sim-datasets-data/llm-srbench/chem_react/CRK28/train.csv,/home/anonymous/sim-datasets-data/llm-srbench/chem_react/CRK28/valid.csv,/home/anonymous/sim-datasets-data/llm-srbench/chem_react/CRK28/id_test.csv,/home/anonymous/sim-datasets-data/llm-srbench/chem_react/CRK28/ood_test.csv,/home/anonymous/sim-datasets-data/llm-srbench/chem_react/CRK28/metadata.yaml,/home/anonymous/sim-datasets-data/llm-srbench/chem_react/CRK28/formula.py
dso,anon-node-06,W4,151,7,MatSci3,/home/anonymous/sim-datasets-data/llm-srbench/matsci/MatSci3,sim-datasets-data/llm-srbench/matsci/MatSci3,llm-srbench,llm-srbench/matsci,MatSci3,B,one-sided,llmsr,/home/anonymous/sim-datasets-data/llm-srbench/matsci/MatSci3/train.csv,/home/anonymous/sim-datasets-data/llm-srbench/matsci/MatSci3/valid.csv,/home/anonymous/sim-datasets-data/llm-srbench/matsci/MatSci3/id_test.csv,/home/anonymous/sim-datasets-data/llm-srbench/matsci/MatSci3/ood_test.csv,/home/anonymous/sim-datasets-data/llm-srbench/matsci/MatSci3/metadata.yaml,/home/anonymous/sim-datasets-data/llm-srbench/matsci/MatSci3/formula.py
dso,anon-node-06,W4,152,8,first_principles_tully_fisher,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_tully_fisher,sim-datasets-data/srbench2025/firstprinciples/first_principles_tully_fisher,srbench2025,srbench2025/firstprinciples,first_principles_tully_fisher,B,one-sided,llmsr,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_tully_fisher/train.csv,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_tully_fisher/valid.csv,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_tully_fisher/id_test.csv,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_tully_fisher/ood_test.csv,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_tully_fisher/metadata.yaml,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_tully_fisher/formula.py
dso,anon-node-06,W4,153,9,MatSci21,/home/anonymous/sim-datasets-data/llm-srbench/matsci/MatSci21,sim-datasets-data/llm-srbench/matsci/MatSci21,llm-srbench,llm-srbench/matsci,MatSci21,B,one-sided,llmsr,/home/anonymous/sim-datasets-data/llm-srbench/matsci/MatSci21/train.csv,/home/anonymous/sim-datasets-data/llm-srbench/matsci/MatSci21/valid.csv,/home/anonymous/sim-datasets-data/llm-srbench/matsci/MatSci21/id_test.csv,/home/anonymous/sim-datasets-data/llm-srbench/matsci/MatSci21/ood_test.csv,/home/anonymous/sim-datasets-data/llm-srbench/matsci/MatSci21/metadata.yaml,/home/anonymous/sim-datasets-data/llm-srbench/matsci/MatSci21/formula.py
dso,anon-node-06,W4,154,10,first_principles_leavitt,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_leavitt,sim-datasets-data/srbench2025/firstprinciples/first_principles_leavitt,srbench2025,srbench2025/firstprinciples,first_principles_leavitt,B,one-sided,llmsr,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_leavitt/train.csv,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_leavitt/valid.csv,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_leavitt/id_test.csv,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_leavitt/ood_test.csv,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_leavitt/metadata.yaml,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_leavitt/formula.py
