tool,machine,wave,global_index,slice_index,dataset_name,dataset_dir,dataset_rel,family,subgroup,basename,pool,selection_mode,candidate_advantage_side,train_csv,valid_csv,id_test_csv,ood_test_csv,metadata_yaml,formula_py
dso,anon-node-04,W4,88,1,strogatz_lv1,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_lv1,sim-datasets-data/srbench1.0/strogatz/strogatz_lv1,srbench1.0,srbench1.0/strogatz,strogatz_lv1,A,strict,pysr,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_lv1/train.csv,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_lv1/valid.csv,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_lv1/id_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_lv1/ood_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_lv1/metadata.yaml,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_lv1/formula.py
dso,anon-node-04,W4,89,2,strogatz_lv2,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_lv2,sim-datasets-data/srbench1.0/strogatz/strogatz_lv2,srbench1.0,srbench1.0/strogatz,strogatz_lv2,A,strict,pysr,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_lv2/train.csv,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_lv2/valid.csv,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_lv2/id_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_lv2/ood_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_lv2/metadata.yaml,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_lv2/formula.py
dso,anon-node-04,W4,90,3,Korns-1,/home/anonymous/sim-datasets-data/korns/Korns-1,sim-datasets-data/korns/Korns-1,korns,korns,Korns-1,A,strict,llmsr,/home/anonymous/sim-datasets-data/korns/Korns-1/train.csv,/home/anonymous/sim-datasets-data/korns/Korns-1/valid.csv,/home/anonymous/sim-datasets-data/korns/Korns-1/id_test.csv,/home/anonymous/sim-datasets-data/korns/Korns-1/ood_test.csv,/home/anonymous/sim-datasets-data/korns/Korns-1/metadata.yaml,/home/anonymous/sim-datasets-data/korns/Korns-1/formula.py
dso,anon-node-04,W4,91,4,strogatz_shearflow2,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_shearflow2,sim-datasets-data/srbench1.0/strogatz/strogatz_shearflow2,srbench1.0,srbench1.0/strogatz,strogatz_shearflow2,A,strict,pysr,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_shearflow2/train.csv,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_shearflow2/valid.csv,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_shearflow2/id_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_shearflow2/ood_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_shearflow2/metadata.yaml,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_shearflow2/formula.py
dso,anon-node-04,W4,92,5,strogatz_glider2,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_glider2,sim-datasets-data/srbench1.0/strogatz/strogatz_glider2,srbench1.0,srbench1.0/strogatz,strogatz_glider2,A,strict,pysr,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_glider2/train.csv,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_glider2/valid.csv,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_glider2/id_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_glider2/ood_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_glider2/metadata.yaml,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_glider2/formula.py
dso,anon-node-04,W4,93,6,Nguyen-11,/home/anonymous/sim-datasets-data/nguyen/Nguyen-11,sim-datasets-data/nguyen/Nguyen-11,nguyen,nguyen,Nguyen-11,A,strict,pysr,/home/anonymous/sim-datasets-data/nguyen/Nguyen-11/train.csv,/home/anonymous/sim-datasets-data/nguyen/Nguyen-11/valid.csv,/home/anonymous/sim-datasets-data/nguyen/Nguyen-11/id_test.csv,/home/anonymous/sim-datasets-data/nguyen/Nguyen-11/ood_test.csv,/home/anonymous/sim-datasets-data/nguyen/Nguyen-11/metadata.yaml,/home/anonymous/sim-datasets-data/nguyen/Nguyen-11/formula.py
dso,anon-node-04,W4,94,7,first_principles_planck,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_planck,sim-datasets-data/srbench2025/firstprinciples/first_principles_planck,srbench2025,srbench2025/firstprinciples,first_principles_planck,A,strict,pysr,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_planck/train.csv,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_planck/valid.csv,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_planck/id_test.csv,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_planck/ood_test.csv,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_planck/metadata.yaml,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_planck/formula.py
dso,anon-node-04,W4,95,8,strogatz_bacres2,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_bacres2,sim-datasets-data/srbench1.0/strogatz/strogatz_bacres2,srbench1.0,srbench1.0/strogatz,strogatz_bacres2,A,strict,pysr,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_bacres2/train.csv,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_bacres2/valid.csv,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_bacres2/id_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_bacres2/ood_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_bacres2/metadata.yaml,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_bacres2/formula.py
dso,anon-node-04,W4,96,9,strogatz_predprey2,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_predprey2,sim-datasets-data/srbench1.0/strogatz/strogatz_predprey2,srbench1.0,srbench1.0/strogatz,strogatz_predprey2,A,strict,pysr,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_predprey2/train.csv,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_predprey2/valid.csv,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_predprey2/id_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_predprey2/ood_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_predprey2/metadata.yaml,/home/anonymous/sim-datasets-data/srbench1.0/strogatz/strogatz_predprey2/formula.py
dso,anon-node-04,W4,97,10,Keijzer-1,/home/anonymous/sim-datasets-data/keijzer/Keijzer-1,sim-datasets-data/keijzer/Keijzer-1,keijzer,keijzer,Keijzer-1,A,strict,pysr,/home/anonymous/sim-datasets-data/keijzer/Keijzer-1/train.csv,/home/anonymous/sim-datasets-data/keijzer/Keijzer-1/valid.csv,/home/anonymous/sim-datasets-data/keijzer/Keijzer-1/id_test.csv,/home/anonymous/sim-datasets-data/keijzer/Keijzer-1/ood_test.csv,/home/anonymous/sim-datasets-data/keijzer/Keijzer-1/metadata.yaml,/home/anonymous/sim-datasets-data/keijzer/Keijzer-1/formula.py
