x0,x1,x2,x3,x4,x5,x6,x7,y
-3.349645435810089111e-01,-3.299216508865356445e+00,4.004199981689453125e+00,-2.441484481096267700e-01,1.554279628800000000e+10,1.289534330368041992e+00,-2.132962495088577271e-01,4.855403730984197974e-13,-1.475514620542526245e-01
-4.570874869823455811e-01,-7.915298938751220703e-01,-8.988447189331054688e+00,-2.846505880355834961e+00,-1.274546585600000000e+11,-8.657693266868591309e-01,-6.169471740722656250e+00,-1.088853941906553491e-13,3.128880691528320312e+01
-2.268045842647552490e-01,1.096237301826477051e-01,-2.862213134765625000e+00,-5.258614540100097656e+00,3.292830105600000000e+11,1.083198904991149902e+00,5.287919998168945312e+00,1.484484024149700793e-14,2.075428199768066406e+01
-2.581465721130371094e+00,-1.068112015724182129e+00,1.754400879144668579e-01,9.350507259368896484e-01,1.401859891200000000e+10,5.626686811447143555e-01,-4.048838317394256592e-01,6.433499024315059156e-13,2.693524599075317383e+00
1.172283589839935303e-01,-8.145515918731689453e-01,-4.771352410316467285e-01,3.717295646667480469e+00,1.724222504960000000e+11,7.799315452575683594e+00,-3.546121835708618164e+00,-6.824698277211119213e-14,-2.952646446228027344e+01
4.219996035099029541e-01,-1.162755936384201050e-01,-5.174963474273681641e-01,-1.033726036548614502e-01,-7.074959360000000000e+10,-2.671407759189605713e-01,-9.138117432594299316e-01,1.829556098905272404e-14,2.485430687665939331e-01
-4.596167564392089844e+00,-5.232192516326904297e+00,4.581879138946533203e+00,-2.171077132225036621e-01,9.530333593600000000e+10,-1.808758974075317383e+00,2.423603534698486328e+00,1.159538383957133337e-14,1.866955757141113281e+01
2.833820879459381104e-01,6.107266426086425781e+00,2.127182722091674805e+00,-1.686664819717407227e-01,8.084055654400000000e+10,7.173560142517089844e+00,1.868324041366577148e+00,-1.394885183921001914e-13,1.477443981170654297e+01
8.998586654663085938e+00,3.724335134029388428e-01,-5.383312702178955078e-01,-3.923518657684326172e-01,3.825117593600000000e+10,-4.406780242919921875e+00,4.036842584609985352e-01,6.123517627210431358e-14,1.783642530441284180e+00
5.566560029983520508e-01,1.725434064865112305e-01,-7.337130904197692871e-01,-1.070845052599906921e-01,-9.954767667200000000e+11,-2.056867361068725586e+00,-3.115084767341613770e-01,5.256210505906466768e-13,8.153482675552368164e-01
1.281909942626953125e-01,5.248736381530761719e+00,5.034954547882080078e+00,1.002676635980606079e-01,2.996984872960000000e+11,-1.411636114120483398e+00,3.742497265338897705e-01,-2.744372349543829775e-14,6.493794918060302734e-01
-3.141886293888092041e-01,-1.166664838790893555e+00,1.265894412994384766e+00,-1.377166956663131714e-01,-5.692402565120000000e+11,-1.263605833053588867e+00,2.401953190565109253e-01,-7.136562391388268090e-13,-1.112941876053810120e-01
3.749569356441497803e-01,-2.163726568222045898e+00,-9.147520065307617188e+00,-4.345343589782714844e+00,4.022525952000000000e+10,2.756983757019042969e+00,2.620157241821289062e+00,3.260902019328743018e-14,4.616154098510742188e+01
3.333819508552551270e-01,7.858220577239990234e+00,2.388049811124801636e-01,5.470861196517944336e-01,-1.687478272000000000e+10,-1.614113599061965942e-01,6.626666784286499023e-01,-7.226995152494197772e-13,2.643473863601684570e+00
-2.960335016250610352e-01,-3.404177188873291016e+00,-1.294881701469421387e+00,8.441969871520996094e+00,1.721073868800000000e+10,1.431315541267395020e+00,6.772965908050537109e+00,-1.084119773120395536e-13,-2.293506711721420288e-01
-1.543258070945739746e+00,1.258088201284408569e-01,-6.423685550689697266e-01,1.963682174682617188e-01,6.577649664000000000e+10,-3.471098661422729492e+00,-7.270480394363403320e-01,4.049856289082068295e-14,2.203359365463256836e+00
1.850333958864212036e-01,1.842882037162780762e+00,7.029516100883483887e-01,-1.213174685835838318e-01,-3.902534451200000000e+10,-1.556015372276306152e+00,-1.324726223945617676e+00,-6.238734436827750307e-14,2.317008733749389648e+00
2.984057903289794922e+00,1.943101048469543457e+00,2.012908011674880981e-01,-9.470565795898437500e+00,-1.151854428160000000e+11,1.351223886013031006e-01,-2.713316977024078369e-01,1.687211195679650527e-14,3.855325222015380859e+00
6.109629869461059570e-01,3.715346336364746094e+00,-5.925580978393554688e+00,-6.256754994392395020e-01,-4.163774054400000000e+11,3.328075110912322998e-01,-2.237798929214477539e+00,-1.848883188475952677e-13,5.232673645019531250e+00
-4.736479222774505615e-01,5.292344093322753906e+00,-6.783575415611267090e-01,-1.521291285753250122e-01,1.226431897600000000e+10,-1.227015852928161621e+00,2.312922626733779907e-01,1.156735128418195230e-14,-2.687309026718139648e+00
1.186028271913528442e-01,-2.741334736347198486e-01,-1.046374201774597168e+00,3.611178636550903320e+00,1.568792739840000000e+11,1.895979791879653931e-01,2.524954378604888916e-01,5.955589211896483715e-13,-3.763284444808959961e+00
-1.104844585061073303e-01,1.779853105545043945e-01,-7.660605430603027344e+00,1.237848162651062012e+00,1.119228620800000000e+10,-1.965774297714233398e-01,-1.902297973632812500e+00,2.351243013492838180e-14,-9.128382682800292969e+00
1.497396975755691528e-01,4.152376651763916016e-01,3.052284121513366699e-01,-3.850660800933837891e+00,1.734631219200000000e+10,8.623116493225097656e+00,8.741028904914855957e-01,5.509548980237033433e-13,6.424336910247802734e+00
4.642130434513092041e-01,8.784682154655456543e-01,-9.738948822021484375e+00,5.059798717498779297e+00,-1.042216140800000000e+11,1.815347433090209961e+00,9.115622520446777344e+00,-2.048642525965312794e-14,-3.232130432128906250e+01
1.480568796396255493e-01,3.165347576141357422e-01,5.349948406219482422e+00,-1.711252629756927490e-01,1.324626124800000000e+10,4.122335016727447510e-01,4.368019104003906250e-01,3.847722379428375472e-14,-6.885818243026733398e-01
-2.209241688251495361e-01,-1.071790233254432678e-01,3.651868104934692383e+00,-1.976709842681884766e+00,1.747198443520000000e+11,4.883190989494323730e-01,1.962951272726058960e-01,4.613291424760725123e-14,-7.099150180816650391e+00
2.567895352840423584e-01,-6.786810159683227539e-01,-3.924517929553985596e-01,1.522561907768249512e+00,4.717034291200000000e+10,-6.291325688362121582e-01,7.735558748245239258e-01,2.346602458788010770e-14,-1.258479595184326172e+00
-8.444020152091979980e-01,5.190891027450561523e-01,6.852664351463317871e-01,-1.513152718544006348e-01,-7.471714304000000000e+10,-4.667260646820068359e-01,7.983091473579406738e-01,-5.881569780903997402e-14,-9.146028161048889160e-01
-2.434118837118148804e-01,5.915930271148681641e-01,-9.051129341125488281e+00,-1.186550110578536987e-01,-5.998988083200000000e+10,-6.710844039916992188e-01,-4.782071590423583984e+00,-3.993758652238131590e-14,4.139134407043457031e+00
-6.460008025169372559e-01,2.282539010047912598e-01,5.568811893463134766e+00,-5.578142404556274414e-01,-7.337628467200000000e+10,4.326556682586669922e+00,3.518840074539184570e-01,-7.075172695977793857e-14,-1.731368541717529297e+00
-7.410519123077392578e-01,-9.101564884185791016e-01,1.659609228372573853e-01,1.921084225177764893e-01,8.996030873600000000e+10,-3.548065900802612305e+00,2.072481065988540649e-01,2.358647402823238481e-13,-2.897423133254051208e-02
-4.697084426879882812e-01,2.642118334770202637e-01,1.924964189529418945e+00,-1.880696654319763184e+00,1.798193643520000000e+11,-2.555337905883789062e+00,-5.633217334747314453e+00,4.602507611140005395e-13,1.065039730072021484e+01
-3.091770648956298828e+00,-3.487821817398071289e+00,-4.063113033771514893e-01,-1.574102401733398438e+00,-1.086363340800000000e+10,-3.516528308391571045e-01,-4.171219170093536377e-01,-1.204585798377779890e-14,1.156980228424072266e+01
-9.711080551147460938e+00,-1.680247902870178223e+00,-1.235973238945007324e+00,-5.094882965087890625e+00,-5.434580172800000000e+10,-1.093705520033836365e-01,1.357445120811462402e+00,1.153062156389675352e-13,2.246569824218750000e+01
-5.584702968597412109e+00,-3.695242404937744141e+00,-4.847546100616455078e+00,-2.692293226718902588e-01,5.386255073280000000e+11,9.163123965263366699e-01,-4.890165328979492188e+00,-3.056352913810567173e-13,1.746101379394531250e+01
7.107686996459960938e+00,-6.495513439178466797e+00,-1.460151523351669312e-01,-4.862279295921325684e-01,-1.111160934400000000e+10,6.725655198097229004e-01,1.164412125945091248e-01,1.162580418083902431e-14,-4.601876068115234375e+01
-2.069050312042236328e+00,7.796433925628662109e+00,3.145056962966918945e+00,5.193850994110107422e+00,6.833811619840000000e+11,-4.684918224811553955e-01,-4.898132383823394775e-01,1.356540341211978640e-13,4.332157671451568604e-01
-8.285304903984069824e-01,-9.497790932655334473e-01,-2.360902547836303711e+00,-8.117927312850952148e-01,2.003034603520000000e+11,6.491251945495605469e+00,-1.104426145553588867e+00,1.246984540772362246e-14,-4.465623855590820312e+00
