x0,x1,y
-1.503235381189686744e-11,6.089802822183528613e-02,-1.736155628671964964e+22
-8.705454327596122166e-11,3.113038371507377902e-02,-5.139659494784938436e+22
-1.479485679715779102e-10,-6.607615234367976431e-02,1.854017991129600759e+23
1.183071652026122443e-10,-4.732735711727583186e-03,-1.061895385824661340e+22
-4.133386109158210316e-11,-4.331820457298458937e-02,3.395743327966928359e+22
2.132250848908980208e-11,1.855973300086574337e-02,7.505306847317627765e+21
4.577788260096852274e-10,-4.147690642582704118e-02,-3.600978185072652971e+23
-3.530633908114625514e-11,-1.136591603312284496e-02,7.610541590367663292e+21
1.524166769728632445e-11,-1.044284020125169684e-03,-3.018627704752309535e+20
-3.116000649462133762e-10,-3.437568850741341744e-03,2.031455799484173045e+22
8.696047427669898957e-11,-3.927429519521602463e-03,-6.477221253381644878e+21
-5.622636152432045983e-11,8.137372760723690646e-02,-8.677260268202401097e+22
4.623350781992446149e-11,1.207772989904286115e-03,1.059011291924318126e+21
2.250098318306743065e-10,-6.483464928519219739e-02,-2.766732001990047349e+23
2.532082815369472665e-10,3.022228349640527362e-02,1.451321447848043610e+23
-2.967930817516298693e-11,1.768405408176355149e-03,-9.953917575479496540e+20
-8.745617640314281194e-11,-4.385434558757390217e-02,7.273803309665326675e+22
3.567078839294421093e-10,-6.450127832470610445e-02,-4.363545034245614967e+23
6.627834917311901444e-11,5.341933797568584191e-03,6.714730964260225024e+21
2.464495450417602149e-10,-9.477042109240400858e-02,-4.429546483991193426e+23
3.656686627140968469e-11,-1.690755381343126904e-02,-1.172538075560574085e+22
-1.901906671645708869e-10,-1.533367378395084904e-03,5.530875135459202171e+21
-6.194726751765635182e-10,1.576592588126367626e-03,-1.852251979095761066e+22
-4.449091899569315256e-10,7.281804868966497424e-02,-6.144249544461055510e+23
-5.303732674517857251e-11,-2.802532685295257113e-03,2.818971888084483834e+21
6.426166946358841529e-10,-3.461219939340466276e-03,-4.218321081207585610e+22
-3.670137094977479169e-11,5.059507902344075048e-02,-3.521672761673174850e+22
3.234668409750466630e-11,-1.246329926949456615e-02,-7.645769888419064840e+21
6.380062300381357248e-10,-1.484060254079478183e-02,-1.795704562325103344e+23
-9.827394841868566591e-11,1.264666658375301986e-03,-2.357072314561716814e+21
9.776237573534134826e-10,-1.073638516653675420e-02,-1.990619539572505308e+23
-4.836190175512158678e-10,2.341114410249698838e-03,-2.147259046537624499e+22
8.193332520942574306e-10,-4.420351904635326165e-03,-6.868720715823944879e+22
-1.700944668138150642e-10,1.811103735173594589e-02,-5.842408842466379065e+22
-2.012916482099340307e-11,-1.966356692320165873e-03,7.506655562526429020e+20
-1.249820840806062970e-11,1.612374445607107909e-02,-3.821836477038701576e+21
2.344447752767457242e-10,-3.610016511474821443e-03,-1.605122488553011832e+22
-1.613932683530200163e-11,-2.079787157793520479e-03,6.365942934497148273e+20
8.655633383079419540e-11,4.059777559809773714e-03,6.664376501633436090e+21
-2.107760087263665189e-10,8.798180515026458176e-03,-3.517000881579286227e+22
5.198845455308303874e-10,1.162836778839453208e-03,1.146526505830841529e+22
7.097949359365511289e-11,-3.686507544482112847e-02,-4.962567831642167470e+22
5.741719723042380445e-11,-8.055576195045284493e-02,-8.771967850533568591e+22
-3.943514101739867533e-10,-9.412470966595136435e-03,7.039559438513968094e+22
5.047660916759936109e-10,1.936822116703734720e-03,1.854122145382071167e+22
2.916144951994631843e-10,-3.449161400317867464e-03,-1.907572519083720678e+22
-2.890371153992411005e-11,-8.937011748723598659e-02,4.898965439248674587e+22
6.601804075843831704e-10,-2.191570115767913808e-03,-2.743951518126115180e+22
2.781806599897651802e-11,4.342801687150722040e-02,2.291159709369503842e+22
-4.171694884367696461e-10,-1.033118817453666577e-03,8.173747946604303745e+21
-2.104664262513811086e-10,-1.378695162318883255e-02,5.503126688786814285e+22
1.415240781255913831e-10,-9.572831122733424514e-03,-2.569384882579591030e+22
1.886448124446412897e-10,4.062005652988349980e-02,1.453261682825516506e+23
5.525547455446640666e-10,-9.951026616338072561e-03,-1.042801467063652267e+23
-2.671911862125870749e-11,1.102971366375083383e-02,-5.589137560221588128e+21
2.384425577887956085e-10,-2.143916670233528277e-02,-9.695051168800937974e+22
-2.851874798522181401e-11,8.982821340485587849e-03,-4.858493767894051062e+21
-3.065681680095287813e-11,6.751903714047474865e-03,-3.925651400793830457e+21
-8.097801884553008364e-11,-1.185342195677202386e-02,1.820410469393916284e+22
-1.155297040602119610e-10,1.388895823827308905e-03,-3.043138828513757889e+21
-1.101303346503704246e-11,-1.643795383313264571e-03,3.433311022150809682e+20
-3.342038202285505865e-11,-3.510701228161582782e-02,2.225172651523149975e+22
6.078851967515136454e-10,3.801557225580190925e-03,4.382697866870145417e+22
4.128869986520803265e-10,-9.605492674267739062e-02,-7.521583571026466560e+23
-1.642784813571321622e-11,-1.180696141428749617e-02,3.678555017576331084e+21
2.857378181002657617e-11,-1.025358634521045384e-03,-5.556508071586866790e+20
-5.039430874450995790e-10,1.089948720268938331e-03,-1.041707979004673052e+22
2.977762532732630122e-11,5.820973584378330568e-02,3.287336199293925484e+22
-4.812922677975922033e-10,-6.248062802218777578e-02,5.703122541269530077e+23
1.722673162681997088e-10,1.827266529314894132e-03,5.969847257967148138e+21
