Ef,epsilon,p_d,theta,r
-0.0724347308278083,1.2301090955734253,2.669684410095215,2.978023052215576,1.047457575798035
0.0282837934792041,1.2667819261550903,2.489280939102173,1.5628945827484133,0.5079447627067565
-0.1340067684650421,1.6542781591415403,1.7186217308044434,1.8889390230178835,0.8192615509033203
-0.1340135633945465,2.7182750701904297,2.2184767723083496,1.9456158876419067,0.7912129759788513
0.066091850399971,2.082324504852295,1.8181452751159668,1.3266489505767822,0.9044115543365479
-0.1721675843000412,1.7899000644683838,2.9210524559021,2.712364196777344,0.9496143460273742
-0.1181375458836555,1.1137698888778689,1.2269273996353147,1.940701484680176,0.9087072610855103
-0.1267354041337966,2.733297348022461,1.4357976913452148,2.2365889549255367,0.78333580493927
-0.0922423228621482,1.8099788427352903,2.8867013454437256,2.9520065784454346,0.9141546487808228
-0.0301088020205497,1.6321929693222046,2.763648509979248,2.3461360931396484,1.8862696886062624
-0.0562599524855613,1.153325438499451,2.292821168899536,1.8810617923736568,1.348575234413147
-0.0959089770913124,2.6864492893218994,1.4276496171951294,1.5793746709823608,0.2247118204832077
-0.0055679334327578,2.697878360748291,2.2736639976501465,2.019399404525757,2.41707181930542
-0.0747390985488891,2.9089763164520264,2.7477264404296875,1.9571045637130735,1.0173641443252563
-0.1217062100768089,1.165000081062317,2.7253487110137935,2.6377468109130855,1.2472214698791504
-0.006781795527786,1.0102591514587402,1.345789909362793,2.412742853164673,2.856050729751587
-0.1596382409334182,1.9511927366256716,1.4058752059936523,2.2020082473754883,0.8006978034973145
0.0498117171227931,2.817325592041016,2.981645345687866,1.500060796737671,0.7097882628440856
-0.0921376347541809,2.8203060626983643,2.610034465789795,1.915475964546204,0.9136087298393248
-0.1504468619823455,2.050511360168457,1.754830837249756,2.114865303039551,0.844105064868927
0.0148263648152351,1.2080378532409668,2.0314748287200928,1.503900408744812,1.21778404712677
-0.1435813158750534,2.906080484390259,2.422191381454468,2.4532744884490967,0.879323661327362
-0.0384433194994926,1.8239059448242188,1.1450155973434448,1.6201478242874146,0.5769855380058287
-0.1682780683040618,2.730034351348877,2.7652232646942134,2.6515078544616695,0.8419142365455627
-0.0901378542184829,2.793494462966919,2.394859790802002,2.483508348464966,1.0318683385849
-0.0239229425787925,1.8088104724884035,2.76334547996521,2.711738109588623,1.794153928756714
0.0952288955450057,2.4714541435241695,1.9129928350448608,1.3679039478302002,0.726208746433258
0.0817857012152671,1.798393726348877,1.543120265007019,1.50263249874115,0.5541818141937255
-0.1227461919188499,2.409431219100952,1.3284692764282229,2.357590675354004,0.8123993277549743
-0.1652240604162216,2.2191197872161865,1.264716625213623,1.8047425746917725,0.5705158710479736
-0.068451352417469,1.4121637344360352,1.6148451566696167,1.8877482414245603,1.0570471286773682
-0.0774464532732963,1.5806655883789062,2.13615083694458,2.2989718914031982,1.2743061780929563
-0.0988096594810485,2.3119256496429443,1.190569281578064,2.44802474975586,0.8488524556159973
-0.0250540077686309,1.5992335081100464,2.5959548950195312,1.9366649389266968,1.7288501262664795
0.1001041084527969,1.4867960214614868,1.0317156314849854,1.1895393133163452,0.8298849463462828
-0.1219761744141578,1.490686535835266,2.3512122631073,2.9815573692321777,0.7860296964645385
-0.1764116585254669,2.4955413341522217,1.0753605365753174,2.759627103805542,0.5864542722702026
0.0518021360039711,2.4402933120727535,1.6178957223892212,1.3225576877593994,0.8994638919830322
0.0652260556817054,2.1888983249664307,2.489711046218872,1.1284643411636353,1.1721570491790771
-0.0023430499713867,2.930817127227783,1.2177711725234983,1.8891009092330933,2.325963020324707
-0.0847316160798072,2.997396469116211,1.9872705936431885,2.6795449256896973,0.9067014455795288
-0.0903431922197341,1.96260666847229,1.0365102291107178,2.9758312702178955,0.6101242899894714
-0.0863418281078338,1.5828453302383425,1.3658074140548706,2.5263912677764893,1.0398797988891602
0.0720192566514015,1.0101665258407593,1.0969083309173584,1.5052645206451416,0.6172808408737182
-0.0449132397770881,2.222555160522461,1.9988577365875244,2.8149077892303467,1.1326123476028442
-0.1442699432373046,2.740362882614136,2.0061798095703125,2.369445323944092,0.8460023999214172
0.0230009090155363,2.767202854156494,2.529454231262207,1.2104698419570925,1.4628329277038574
-0.0198184717446565,2.4797277450561523,2.862837791442871,2.4745218753814697,1.8907862901687624
0.0392651483416557,1.369425892829895,1.5984117984771729,1.4744431972503662,0.8791770339012146
-0.0306789856404066,2.771799087524414,1.1151105165481567,2.6815848350524902,1.0758849382400513
-0.0575008504092693,1.5100926160812378,2.1906135082244877,1.8662004470825195,1.1881828308105469
-0.170805349946022,1.8866254091262815,2.286088228225708,2.4455103874206543,0.9410377144813536
-0.14756740629673,2.2338738441467285,2.482388019561768,2.3372719287872314,0.9648584723472596
-0.1691119074821472,1.2067049741744995,1.1978253126144407,2.047498941421509,0.8297653198242188
-0.0893926098942756,1.0894087553024292,2.3785080909729004,2.1419713497161865,1.384150505065918
-0.0346694029867649,1.623254895210266,1.364323973655701,2.1479756832122803,1.383212327957153
