x0,x1,x2,x3,x4,x5,x6,y
6.376767754554748535e-01,-5.639910484575010105e+27,1.332367896567099308e-11,3.018795645512274499e-20,3.540250403943900892e-08,4.754489463087275523e-30,1.305618486960674006e+26,3.163186790400000000e+10
-6.565672755241394043e-01,-4.219681196092757937e+27,-2.724698244804812930e-11,4.863005160956906613e-20,7.634948673285180121e-09,9.674124259176941509e-29,1.603351149919635014e+26,7.059307520000000000e+08
7.848455309867858887e-01,-1.542685859193260475e+27,4.898952077336815591e-11,2.773376973881473202e-20,-5.145888160029699065e-09,8.908022429220618242e-29,2.868731975393255259e+27,-1.110545664000000000e+09
4.717949628829956055e-01,1.315834441402646945e+27,1.224739407112984679e-11,1.340926658255801016e-20,-8.686506625110723689e-09,3.714259717411848967e-30,7.179638076314657927e+27,-6.756781568000000000e+09
-9.264119863510131836e-01,9.609499165746502071e+28,1.386858544671909499e-10,8.037421590906535350e-21,5.065691865979715658e-09,1.469311213872466105e-29,9.299856665002953299e+26,-2.214783795200000000e+10
1.210214942693710327e-01,5.738147041098257612e+28,1.076822728207638136e-10,3.473327837818468643e-20,-4.424714461492840201e-08,6.899084904230292524e-29,1.975393496113506862e+27,-4.178982144000000000e+09
-7.946794033050537109e-01,8.658848541576331245e+27,-1.446953581257792720e-11,3.749824266674255392e-20,-1.618188028018607838e-09,1.736431979554453318e-29,9.624492797388775266e+27,-5.357815680000000000e+08
4.170337319374084473e-01,-1.902830940903305201e+27,-8.909528670386634985e-11,5.935702672838476258e-20,-5.168851657799677923e-08,5.577327985499031516e-30,1.520955299526525444e+27,1.721725091840000000e+11
-5.097016692161560059e-01,-1.139993657425109848e+27,2.571706736453904796e-11,1.579266150183311578e-20,-2.071198146325059497e-08,3.221090748597809019e-29,9.476963116984875756e+26,4.214307072000000000e+09
-1.145401969552040100e-01,-6.990837864329529511e+28,-6.911769767636855022e-11,2.769933228736546014e-21,2.492108208684840065e-08,9.267387716074908790e-29,4.920867321054303419e+27,1.064453632000000000e+09
-7.428889274597167969e-01,-2.500156879215477858e+27,-3.107052115591812935e-10,5.034207313948374953e-20,2.212665606293739984e-09,5.117951564045142294e-30,6.791135626596838750e+26,4.989557964800000000e+10
1.587086617946624756e-01,-1.852150976045796456e+28,-2.142500898916210872e-10,3.189694391239997802e-20,-1.682357364529707411e-08,3.726847475157742416e-30,9.677259339876739964e+26,7.674821017600000000e+10
7.966063022613525391e-01,7.308773548971969810e+27,-4.468493283726893139e-11,1.018043047325227192e-21,2.059618919858507979e-09,2.439010470950532431e-29,1.834439969291420365e+26,-1.502962176000000000e+09
4.796957075595855713e-01,-1.404600469033242487e+27,-2.472994586888432877e-10,2.956022209373268013e-21,6.825433107593426030e-09,7.254844940506656310e-30,7.946671994069622203e+27,-5.580345344000000000e+10
-1.989345401525497437e-01,-4.180261950231976004e+28,-5.882915821153744673e-10,2.465813935351924861e-20,-1.496664236988465291e-09,4.688160059644386857e-29,5.389057786709164192e+27,-1.868076928000000000e+09
4.137289226055145264e-01,-7.419974654318963498e+27,-1.206279937049359319e-10,1.138332092250182462e-21,1.311736497200399754e-08,3.931386125308166285e-30,1.701163165696072540e+26,-8.325971148800000000e+10
-1.406162325292825699e-02,-4.607823122644400534e+27,1.141195332676758767e-10,1.561196979391394559e-21,8.269920215298043331e-08,1.559729712716247291e-29,3.562702029221070743e+27,-4.254195456000000000e+09
-6.617622971534729004e-01,-5.450170521659790630e+27,3.838669104805347843e-10,7.471020167777219952e-21,-1.966232288097558012e-09,5.398242004196454022e-29,2.225785984608201869e+26,4.626314752000000000e+09
8.953137397766113281e-01,5.976348991393144032e+27,7.970011456359671342e-11,2.940484259723377275e-20,-1.576363750643849926e-08,1.578830122939707703e-29,2.469004276078214199e+26,-3.562257203200000000e+10
-5.346323549747467041e-02,-2.461426803713289714e+28,-9.884882912203352134e-10,2.084025007777666985e-21,-1.435568997010250314e-09,9.319237361296458906e-29,1.066041490537091573e+26,-4.070431680000000000e+08
-8.729370236396789551e-01,-8.164779212447439636e+27,-4.008651049991485138e-11,1.886247456175623529e-21,1.686876194284536723e-09,5.462323110124185947e-29,4.539752866124981213e+27,5.403274240000000000e+08
-3.988939523696899414e-01,-2.724038666358129330e+27,-2.579509349176500876e-11,1.027317688774442972e-20,1.129528581778060925e-09,6.736887297285752868e-29,4.070704110361858881e+27,8.625861600000000000e+07
-3.399171829223632812e-01,2.155032110518334541e+28,-6.615624020822608031e-11,1.670400370274557929e-21,-6.911124561526094112e-09,1.966431047411484181e-29,2.120700122495595487e+27,-3.951699712000000000e+09
-2.955038249492645264e-01,5.420627396942958129e+27,1.822131751039179903e-10,1.203556071148716467e-21,-1.108211478140219697e-08,5.657658147321230860e-29,6.201191042245296528e+26,5.273498112000000000e+09
9.988512396812438965e-01,1.137691518522106155e+28,-1.330338339489145483e-10,2.455852386643056280e-21,-1.004108529656377868e-08,1.390710401723377283e-29,1.089526243331516014e+27,4.797079142400000000e+10
-3.670765161514282227e-01,1.351295281618325470e+27,-3.175792961940260284e-11,2.928993638571636013e-21,4.720710489181101366e-09,8.252299105032496283e-30,3.736955286403624396e+27,3.334349824000000000e+09
-3.270722329616546631e-01,-1.471785606499819447e+28,-2.057003525846035075e-11,1.702904448600700490e-20,9.689657076705771033e-08,3.878770847702083791e-29,6.856441085114490484e+27,8.403554816000000000e+09
-4.587808251380920410e-01,3.086034030285743418e+27,-1.698505780467485238e-10,9.811732890562016122e-21,6.895287185670895269e-08,9.626207874476971607e-30,1.281548584997487424e+27,2.790868910080000000e+11
-6.242454051971435547e-01,1.190866309592514934e+28,-1.564712109880517232e-10,1.244981845719836790e-21,1.086946976869285209e-09,2.810189269143581223e-30,2.273695942103416611e+27,1.889002905600000000e+10
6.912285685539245605e-01,2.812132642208631485e+28,-1.549658144861520981e-11,3.294873960417809835e-20,-1.489857459624488456e-09,2.812578738828294317e-29,9.027798180445781245e+27,2.837054080000000000e+08
-9.824101924896240234e-01,1.229456529259833842e+27,-2.182954372820233857e-10,5.705198455392918184e-20,-1.181192699206690122e-09,4.173058660808975829e-29,1.848734720209019371e+26,-3.035105536000000000e+09
2.925690710544586182e-01,3.655451668127872010e+27,1.267703650387197456e-11,2.782565141029347380e-20,-2.105584373524038710e-09,2.675741717206135020e-29,4.120164037081122995e+26,-1.459300160000000000e+08
-6.670641303062438965e-01,-1.228354933975937684e+28,-3.202494866516580885e-11,2.257804991599974408e-20,-1.126281956587149580e-09,7.782181862556725590e-30,1.170067015353597056e+27,-1.545865856000000000e+09
-3.832533657550811768e-01,-5.833044058103981778e+27,-2.360696534087214360e-11,1.200287738376851672e-21,-2.232140250413294780e-09,6.029543784373361304e-29,3.573373396880735424e+27,-1.674685120000000000e+08
-4.735083878040313721e-01,-8.500567803578368629e+27,3.964736872141827462e-11,1.082419307459768559e-20,-1.089997092584837901e-09,2.001703814874009558e-30,4.342692644865503429e+26,5.111372800000000000e+09
2.519349455833435059e-01,-9.261474923058457827e+28,-7.640289095833807664e-11,1.462879091498972967e-20,8.160652598121487244e-09,2.193514776431018092e-30,2.285223792090423626e+26,-3.580572876800000000e+10
6.331450343132019043e-01,-4.439107135310916720e+28,3.506729281954612532e-11,7.819320559005297792e-21,1.671095151145607360e-09,2.690014814116644206e-30,5.909714629432422262e+27,6.896392192000000000e+09
