dataset_id,global_index,dataset_name,family,subgroup,metadata_class,dataset_rel,basename,formula_identity,feature_count,target_name,train_samples,valid_samples,id_test_samples,ood_test_samples,formula_char_count,formula_operator_count,formula_return_expr,dataset_key,method_norm,seed_norm,is_expected_method,is_expected_seed,is_finished_run,wrong_dataset_flag,is_evaluable_run,not_finished_flag,train_log_nmse_used,valid_log_nmse_used,id_log_nmse_used,ood_log_nmse_used,extreme_error_flag,run_outcome_class,failure_reason_normalized,result_status_raw,state_raw,timeout_type_raw,result_error_raw,result_valid_output_raw,result_metric_complete_raw,result_has_expression_raw,result_seconds,id_r2,ood_r2,result_equation,result_complexity,result_tree_depth,synthetic_missing_row
g0001,1,BPG0,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG0,BPG0,llm-srbench/bio_pop_growth/BPG0,2,dP_dt,3500,500,500,500,99,7,0.9539969835279999 * (1 - P / 96.90688297671034) * P + 0.9539969835279999 * P ** 0.3333333333333333,g0001,dso,520,True,True,True,False,True,False,-2.487563754008491,-2.38112496481588,-2.4048721497482677,0.0,False,valid_finite_result,none,ok,done,not_timeout,,1,1,1,1387.107,0.9955287405803812,-0.051985526507697166,"-x₁
x₂⋅(x₁ + x₂ + log(x₁) + sin(x₂))⋅ℯ",13.0,4.0,False
g0001,1,BPG0,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG0,BPG0,llm-srbench/bio_pop_growth/BPG0,2,dP_dt,3500,500,500,500,99,7,0.9539969835279999 * (1 - P / 96.90688297671034) * P + 0.9539969835279999 * P ** 0.3333333333333333,g0001,dso,521,True,True,True,False,True,False,-2.992281023355993,-2.926856790659189,-2.9690210451540757,0.0,False,valid_finite_result,none,ok,done,not_timeout,,1,1,1,1548.35,0.9987802215041205,-0.051985526507697166,"-x₁
x₂⋅(x₁ + x₂ + 2)⋅ℯ",10.0,4.0,False
g0001,1,BPG0,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG0,BPG0,llm-srbench/bio_pop_growth/BPG0,2,dP_dt,3500,500,500,500,99,7,0.9539969835279999 * (1 - P / 96.90688297671034) * P + 0.9539969835279999 * P ** 0.3333333333333333,g0001,dso,522,True,True,True,False,True,False,-3.4857754294376413,-3.3974661396462427,-3.4577036967803356,0.0,False,valid_finite_result,none,ok,done,not_timeout,,1,1,1,3275.228,0.9996040883138345,-0.051985526507697166,"x₂⋅(x₁ + x₂)   
───────────────────
       x₁   log(x₁)
-x₁ + ℯ   - ───────
              2⋅x₁",20.0,6.0,False
g0001,1,BPG0,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG0,BPG0,llm-srbench/bio_pop_growth/BPG0,2,dP_dt,3500,500,500,500,99,7,0.9539969835279999 * (1 - P / 96.90688297671034) * P + 0.9539969835279999 * P ** 0.3333333333333333,g0001,imcts,520,True,True,True,False,True,False,-5.331211713580807,-5.337345296273088,-5.352370828408637,-1.1665693642236115,False,valid_finite_result,none,ok,done,budget_exhausted_with_output,,1,1,1,3601.346,0.9999949541865575,0.928313000933577,-0.005410884372640642*x0*x1 + 0.5484543154711394*x0 - 0.009764233611124221*x1**2 + 0.9857612072653254*x1 + 0.4008109519349252,17.0,4.0,False
g0001,1,BPG0,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG0,BPG0,llm-srbench/bio_pop_growth/BPG0,2,dP_dt,3500,500,500,500,99,7,0.9539969835279999 * (1 - P / 96.90688297671034) * P + 0.9539969835279999 * P ** 0.3333333333333333,g0001,imcts,521,True,True,True,False,True,False,-5.36281808064906,-5.274282019877363,-5.335647498776544,-2.8100179276087687,False,valid_finite_result,none,ok,done,budget_exhausted_with_output,,1,1,1,3601.328,0.9999947560985769,0.9983707345909008,-0.009963871718385685*x1**2 + 1.009963871718386*x1 + 2.211273499446108*x1*exp(-x0),16.0,5.0,False
g0001,1,BPG0,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG0,BPG0,llm-srbench/bio_pop_growth/BPG0,2,dP_dt,3500,500,500,500,99,7,0.9539969835279999 * (1 - P / 96.90688297671034) * P + 0.9539969835279999 * P ** 0.3333333333333333,g0001,imcts,522,True,True,True,False,True,False,-4.921376234659746,-4.810335766341374,-4.8778061228868985,-3.8062732524148513,False,valid_finite_result,none,ok,done,budget_exhausted_with_output,,1,1,1,3601.918,0.9999849514070553,0.9998356625619195,-0.019145288356960596*x1**2/(0.018568099960345077*exp(x0) + 3.8232447731112242) - 0.019145288356960596*x1*exp(x0)/(0.018568099960345077*exp(x0) + 3.8232447731112242) + 1.9406372320028034*x1/(0.018568099960345077*exp(x0) + 3.8232447731112242) + 1.9406372320028034*exp(x0)/(0.018568099960345077*exp(x0) + 3.8232447731112242),50.0,7.0,False
g0001,1,BPG0,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG0,BPG0,llm-srbench/bio_pop_growth/BPG0,2,dP_dt,3500,500,500,500,99,7,0.9539969835279999 * (1 - P / 96.90688297671034) * P + 0.9539969835279999 * P ** 0.3333333333333333,g0001,pyoperon,520,True,True,True,False,True,False,-0.39890239500981456,-0.37121059284528557,-0.46199810512801853,3.6493174138375286,False,valid_finite_result,none,ok,done,not_timeout,,1,1,1,6.177,0.6079838919130921,-4690.666988113585,(0.115 + (129.302 * log(exp(((((-0.192) * X2) + (0.198 * X2)) * cos((0.016 * X2))))))),13.0,8.0,False
g0001,1,BPG0,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG0,BPG0,llm-srbench/bio_pop_growth/BPG0,2,dP_dt,3500,500,500,500,99,7,0.9539969835279999 * (1 - P / 96.90688297671034) * P + 0.9539969835279999 * P ** 0.3333333333333333,g0001,pyoperon,521,True,True,True,False,True,False,-1.4136043658065516,-1.4581148487385869,-1.4018969949884172,2.5296917919451514,False,valid_finite_result,none,ok,done,not_timeout,,1,1,1,6.208,0.9549800484949843,-355.20626749924753,((-1.960) + ((-113.441) * sin((sin((0.027 * X2)) / ((-0.869) * X1))))),14.0,7.0,False
g0001,1,BPG0,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG0,BPG0,llm-srbench/bio_pop_growth/BPG0,2,dP_dt,3500,500,500,500,99,7,0.9539969835279999 * (1 - P / 96.90688297671034) * P + 0.9539969835279999 * P ** 0.3333333333333333,g0001,pyoperon,522,True,True,True,False,True,False,-0.868795862948492,-0.848154181076235,-0.8270677834827673,1.879019329511963,False,valid_finite_result,none,ok,done,not_timeout,,1,1,1,17.057,0.8308647092374214,-78.62126884701698,(966.546 + ((-1149.376) * sin(cos(((tanh((0.080 * X2)) ^ 2) / (((-1.280) * X1) / 1.492)))))),17.0,9.0,False
g0001,1,BPG0,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG0,BPG0,llm-srbench/bio_pop_growth/BPG0,2,dP_dt,3500,500,500,500,99,7,0.9539969835279999 * (1 - P / 96.90688297671034) * P + 0.9539969835279999 * P ** 0.3333333333333333,g0001,udsr,520,True,True,True,False,True,False,-8.989954347648844,-9.014432631986754,-8.931472063757592,-4.51750176192842,False,valid_finite_result,none,ok,done,budget_exhausted_with_output,,1,1,1,3602.554,0.9999999986700664,0.9999680472675607,(2.54304e-6*x1**3 + 0.00199633*x1**2*x2 - 0.202606*x1**2 - 0.00366104*x1*x2**2 - 0.390523*x1*x2 + 77.2092*x1 - 7.6276e-5*x2**3 - 1.47508*x2**2 + 149.72*x2 + 59.1491)/(1.0*x1 + 148.413159102577),52.0,5.0,False
g0001,1,BPG0,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG0,BPG0,llm-srbench/bio_pop_growth/BPG0,2,dP_dt,3500,500,500,500,99,7,0.9539969835279999 * (1 - P / 96.90688297671034) * P + 0.9539969835279999 * P ** 0.3333333333333333,g0001,udsr,521,True,True,True,False,True,False,-8.457720091989268,-8.44533716691768,-8.440406573840512,-4.151195558287556,False,valid_finite_result,none,ok,done,budget_exhausted_with_output,,1,1,1,3601.474,0.9999999958800168,0.999925729866179,1.0*(-2.65726e-5*x1**3 - 0.0202017*x1**2*x2 + 2.05033*x1**2 - 0.059482*x1*x2**2 + 14.145*x1*x2 - 822.716*x1 + 0.00093998*x2**3 + 16.056*x2**2 - 1630.68*x2 - 656.203)/(-x1 - 1617.17799191265),52.0,5.0,False
