x0,x1,x2,y
2.194681167602539062e+00,5.177309432108558357e-28,-1.803070678710937500e+03,4.264640030005040217e-11
1.766553670167922974e-01,-1.599606152400095772e-27,5.082884765625000000e+04,2.763078123507040074e-13
2.389978468418121338e-01,3.982219923734221662e-27,7.540912500000000000e+04,5.057401979841058548e-13
8.981111526489257812e+00,-3.233352542700614928e-28,-2.608640625000000000e+03,7.141667812682328531e-10
5.128186345100402832e-01,5.788735278221649098e-27,5.422712109375000000e+04,2.328451233907236073e-12
1.802531003952026367e+00,-3.885012076465175829e-27,-1.926633178710937500e+03,2.876769135407020173e-11
8.172925949096679688e+00,1.568846162293315034e-28,-3.298068847656250000e+03,5.914181921973238332e-10
1.271400600671768188e-01,-5.216573076995289277e-27,-1.861768798828125000e+03,1.431213275063930590e-13
5.497572422027587891e+00,1.765182008985960774e-27,4.690290234375000000e+04,2.675971388921283278e-10
3.728042602539062500e+00,7.742455621334415009e-27,4.114848437500000000e+04,1.230555518594300679e-10
1.625382781028747559e+00,3.401342119137531843e-27,5.643714843750000000e+03,2.339111022930939754e-11
3.336155712604522705e-01,9.872639680787650283e-27,-6.311395019531250000e+03,9.854444734183620547e-13
5.529632568359375000e-01,-2.596764084826364684e-28,-5.891602050781250000e+03,2.707273424537581796e-12
7.873219847679138184e-01,4.096314324755654778e-28,1.454238085937500000e+04,5.488381450702295439e-12
1.399167060852050781e+00,1.860274751841831934e-28,-3.975418212890625000e+03,1.733319564267699064e-11
1.627284586429595947e-01,-4.050052331933506741e-27,6.785196289062500000e+03,2.344588282202075824e-13
4.209231436252593994e-01,1.172034417677195839e-28,1.185101953125000000e+04,1.568718896102772042e-12
8.781310319900512695e-01,2.170286543127244054e-27,-2.564885156250000000e+04,6.827444859469622429e-12
2.640148401260375977e-01,5.242079900585759390e-28,1.038250976562500000e+04,6.171576921384924752e-13
6.368526220321655273e-01,-9.454185178050858001e-27,4.039450390625000000e+04,3.591016373150068830e-12
5.421498775482177734e+00,1.518455264559892421e-27,-2.687926757812500000e+04,2.602425219766502096e-10
1.065788865089416504e-01,-1.276849664152446948e-27,-8.130319335937500000e+03,1.005731075135428421e-13
1.017830610275268555e+00,2.673650674880203036e-27,-8.554383789062500000e+03,9.172560280767960705e-12
6.781027317047119141e-01,8.044374414252268915e-27,8.166442871093750000e+03,4.071275868516854857e-12
5.558749437332153320e-01,7.492473188633857254e-28,-7.294390625000000000e+03,2.735858848496031115e-12
8.057543039321899414e-01,-3.955612045994545366e-27,-1.781480273437500000e+04,5.748370963259974431e-12
3.373390674591064453e+00,1.672594563949997139e-28,1.504507812500000000e+03,1.007564379151837386e-10
5.828734636306762695e-01,-1.289256625224811046e-28,1.720126464843750000e+03,3.008071222665442690e-12
1.744646906852722168e+00,2.581612071730141154e-28,5.876147656250000000e+04,2.694973931516297938e-11
1.544986128807067871e+00,1.566777352421178570e-28,-1.773423242187500000e+04,2.113434080519560609e-11
2.648672163486480713e-01,-4.364757662641639164e-28,-1.455492309570312500e+03,6.211491824364978598e-13
4.509752273559570312e+00,-5.383356010173798979e-28,3.395413330078125000e+03,1.800714438671136008e-10
