Ef,epsilon,p_d,theta,r
-0.07243473082780838,1.2301090955734253,2.6696844100952148,2.9780230522155762,1.0474575757980347
0.028283793479204178,1.2667819261550903,2.4892809391021729,1.5628945827484131,0.50794476270675659
-0.13400676846504211,1.6542781591415405,1.7186217308044434,1.8889390230178833,0.81926155090332031
-0.13401356339454651,2.7182750701904297,2.2184767723083496,1.9456158876419067,0.79121297597885132
0.066091850399971008,2.0823245048522949,1.8181452751159668,1.3266489505767822,0.90441155433654785
-0.1721675843000412,1.7899000644683838,2.9210524559020996,2.7123641967773438,0.94961434602737427
-0.11813754588365555,1.1137698888778687,1.2269273996353149,1.9407014846801758,0.90870726108551025
-0.12673540413379669,2.7332973480224609,1.4357976913452148,2.2365889549255371,0.78333580493927002
-0.092242322862148285,1.8099788427352905,2.8867013454437256,2.9520065784454346,0.91415464878082275
-0.030108802020549774,1.6321929693222046,2.763648509979248,2.3461360931396484,1.8862696886062622
-0.056259952485561371,1.1533254384994507,2.2928211688995361,1.8810617923736572,1.348575234413147
-0.095908977091312408,2.6864492893218994,1.4276496171951294,1.5793746709823608,0.2247118204832077
-0.0055679334327578545,2.697878360748291,2.2736639976501465,2.0193994045257568,2.4170718193054199
-0.07473909854888916,2.9089763164520264,2.7477264404296875,1.9571045637130737,1.0173641443252563
-0.12170621007680893,1.1650000810623169,2.7253487110137939,2.6377468109130859,1.2472214698791504
-0.011045003309845924,1.5960069894790649,2.1259000301361084,2.8462991714477539,2.0013372898101807
-0.0067817955277860165,1.0102591514587402,1.345789909362793,2.4127428531646729,2.8560507297515869
-0.15963824093341827,1.9511927366256714,1.4058752059936523,2.2020082473754883,0.80069780349731445
0.049811717122793198,2.8173255920410156,2.9816453456878662,1.5000607967376709,0.70978826284408569
-0.092137634754180908,2.8203060626983643,2.6100344657897949,1.9154759645462036,0.91360872983932495
-0.15044686198234558,2.050511360168457,1.7548308372497559,2.1148653030395508,0.844105064868927
0.014826364815235138,1.2080378532409668,2.0314748287200928,1.503900408744812,1.21778404712677
-0.14358131587505341,2.9060804843902588,2.4221913814544678,2.4532744884490967,0.87932366132736206
-0.038443319499492645,1.8239059448242188,1.1450155973434448,1.6201478242874146,0.57698553800582886
-0.16827806830406189,2.730034351348877,2.7652232646942139,2.6515078544616699,0.84191423654556274
-0.090137854218482971,2.7934944629669189,2.394859790802002,2.4835083484649658,1.0318683385848999
-0.023922942578792572,1.8088104724884033,2.76334547996521,2.711738109588623,1.7941539287567139
0.095228895545005798,2.4714541435241699,1.9129928350448608,1.3679039478302002,0.72620874643325806
0.040438886731863022,1.8901227712631226,1.9854469299316406,1.3443336486816406,1.1070703268051147
0.081785701215267181,1.798393726348877,1.543120265007019,1.5026324987411499,0.55418181419372559
-0.15303337574005127,2.3402903079986572,2.7943036556243896,2.9680731296539307,0.681671142578125
-0.12274619191884995,2.4094312191009521,1.3284692764282227,2.3575906753540039,0.81239932775497437
-0.16522406041622162,2.2191197872161865,1.264716625213623,1.8047425746917725,0.57051587104797363
-0.068451352417469025,1.4121637344360352,1.6148451566696167,1.8877482414245605,1.0570471286773682
-0.077446453273296356,1.5806655883789062,2.1361508369445801,2.2989718914031982,1.2743061780929565
-0.098809659481048584,2.3119256496429443,1.190569281578064,2.4480247497558594,0.84885245561599731
-0.025054007768630981,1.5992335081100464,2.5959548950195312,1.9366649389266968,1.7288501262664795
0.10010410845279694,1.4867960214614868,1.0317156314849854,1.1895393133163452,0.82988494634628296
-0.12197617441415787,1.4906865358352661,2.3512122631072998,2.9815573692321777,0.78602969646453857
-0.17641165852546692,2.4955413341522217,1.0753605365753174,2.759627103805542,0.58645427227020264
0.0518021360039711,2.4402933120727539,1.6178957223892212,1.3225576877593994,0.89946389198303223
-0.15710429847240448,2.0066792964935303,2.2648637294769287,2.4662389755249023,0.94236177206039429
