mom,B,theta,target
2.52830243864204,2.1890744594638574,4.9257702953684745,-1.1720475792354392
3.653518747172901,4.982064971728228,4.576141670623027,2.4723170952579974
3.2583365539395137,2.9640980615075696,2.3382634710756465,6.7057110054847495
3.0484301690640425,4.02938491377829,1.6995686389181022,1.5773808681710606
1.7824560022692937,4.4168191503078935,4.941822028299926,-1.7904719705320076
1.7005893722101593,2.642201629821467,1.3304505743814707,-1.0695781909274813
2.111053036813534,4.704040413224994,2.5772107437702814,8.390453934175026
2.5140823964597727,1.9247005878894576,4.958216527262622,-1.1775794913803113
1.7516597206895832,4.738738921419144,2.188619647804441,4.808257746657146
3.427079223070978,4.623519900340664,2.5566901686933656,13.211162052507332
1.7978631572819714,3.7688652735685295,2.762942637175512,6.295929645336125
1.0419827464882725,1.4285021763505434,2.3981162306212744,1.095695924798786
3.197212367983852,1.7530441016070395,2.506149586501404,4.5108360500503775
1.2585024219713952,2.3621649013578656,2.811003994481622,2.8118179048155096
2.8404980868015755,4.07371222683871,1.691917037715513,1.3981084892542726
2.5843824737187404,3.63300108242214,2.813240384086168,8.887453512247358
1.4699415630755204,1.7654403856740817,2.433408268566512,1.971088500371672
4.124826422810028,2.2571498613778465,3.0489620196970595,9.27043651191954
4.571390199752526,2.949560832533144,4.697948132083655,0.1947077605511152
3.8724106791932793,1.2150147535756672,1.820644563437232,1.1633526940076797
2.9910544081432446,3.7363107133724056,3.2350228312232434,11.126767486524107
1.6459377918602338,3.0248304976868856,1.1551530759653683,-2.0102850665141
2.465718786019183,3.425876444117437,4.486470545748574,1.892196646154768
3.807515254068192,4.608697536250798,1.3810987114117887,-3.308825806027313
4.584452537212896,4.381753106914419,2.7553164668541066,18.60782754075662
3.181634925846399,1.4920874309513392,1.5212507591301268,-0.235110340151086
4.046298378331098,2.378656892899212,1.8995131606485427,3.1071485898213083
3.79285316454653,2.0138055268886608,4.1709096485990536,3.9366931614303295
3.142228323800464,4.276953127141084,3.725310848030477,11.213896027528165
3.070120469514697,3.4163588267692484,2.4839920272351814,8.301344644407315
4.980803292145675,2.7213252210380205,1.6403791978352302,0.942392161548922
2.917194283793981,1.9158182709964868,3.232021807101084,5.565978603496685
3.326064556175366,4.547442913498191,2.411039612101868,11.265248973822636
3.0289108511221485,3.6506327849974536,3.979314447577527,7.399170219011798
2.0578145682446296,1.9164898839329576,4.89895413806015,-0.7315112271036828
4.119149507305941,2.5422989690651767,3.4532839901724914,9.967524049754884
4.749547117470783,1.6603607605156174,1.968093955964348,3.051298389419248
3.2821137262693743,3.2355050815946966,2.2554944305355766,6.716058716559732
2.647604488123461,3.0929466436635145,3.103536104781804,8.182970135730859
1.8413435483230656,4.548229204228008,1.1867536682213569,-3.1378202428212543
4.439907167882845,3.0749758559659184,4.609643782470535,1.400273124409448
