q,Ef,B,v,theta,target
4.639197473944176,4.343855446241247,2.812011921404662,4.419587798603054,3.6223791301432127,-6.5123821703309615
1.552115996407954,3.748369625261565,4.0254742046559215,3.4981184693597367,2.032911567401084,25.381687696791417
4.826101872654995,2.164684822962669,1.304016390430335,4.13335572637177,2.9764988245794664,14.72201301464676
3.3891837594932723,4.989463318348994,1.4124193823051732,4.337986468199371,1.4391859423960915,37.49634219321399
4.050871094158032,2.8495691752197634,1.1729460367876827,3.791964351064465,3.810798388012224,0.3659414857296041
4.005503081051781,2.905435645280632,2.078153509567869,2.6371345213474657,2.0416739440069405,31.200385400036897
2.359427459742925,3.5515750971219133,1.7419709671332115,4.965619478866579,4.3718738175932135,-10.857454221078326
3.628616099071933,1.989033834644972,1.1964323883304102,2.549875309236367,4.4205091741955975,-3.38436263677502
1.1567769803368613,2.5165192682689312,1.4031329894670028,4.01686429052458,2.4812809337239656,6.910068672611183
1.8459006508105784,3.73731910350601,4.654536502172079,2.1151781241797423,1.5568130223021317,25.07015576663209
2.7739483783230816,2.6220557657403742,4.716051898735882,2.0285603329648416,1.1424461478478114,31.413615398795866
4.606998001786336,1.350827462970306,3.849445109202392,2.8454714231758054,2.627470700641854,31.039320975081644
4.74137601715938,2.304717483628873,3.720627257925759,3.755821499716813,3.283369975305664,1.5653658753130872
4.496447360518268,2.6840740824546403,4.6421442417288095,2.5970063737985454,3.538143237836469,-8.868333746780634
4.537963703185868,1.7009205288334854,1.9972816485821028,4.621603887778869,1.756716278086266,48.88516810691337
1.7573144260709608,1.1290574632948722,3.319005794016888,1.5072274857785355,3.4549695559877227,-0.7259050497372475
3.564750166561641,4.735197018214024,4.099216784159296,3.9462649395923566,3.4444707627547886,-0.3200166133886167
4.903339980733199,4.464982381262834,4.910180958725944,4.202772618913791,1.7052892706251392,122.16670891692242
3.796293217437819,1.0734062907315898,1.2870256587722753,4.962375905032029,2.654064788704828,15.43274780422398
2.9805440809416512,3.769547240584107,2.7728473918234373,1.5240718075605226,2.343004597787428,20.258600675897647
2.96087020963344,1.7419790115019933,3.7553570697218106,1.6624200121826886,3.434580208360853,-0.1808489861860501
1.6700505971099235,1.6981374667473244,2.210430214470669,2.664982401739074,1.7738951223286483,12.471633669971476
1.882473864802367,1.5201961741903225,4.557098118801483,3.928930805043936,1.0859849578479108,32.68248260864722
2.3971947667901,3.30188071957317,1.2835581971094467,1.6832384016880233,2.414389314548451,11.358309989328465
3.089108794026544,1.7789285979270173,4.631458364327789,4.534453353916853,2.8644317836065745,23.2467293913377
1.6336129935102468,3.1609990175521703,4.127908063072415,3.2401228385721765,1.2067090938468397,25.581057362314
1.7836517724588248,2.8454284665191283,4.59284158383652,1.3586217442412,4.814437035315716,-5.996714725682469
3.4153839962568218,4.9739053500235535,2.3296516657531696,4.375358661076708,2.6551375604991825,33.262807969171554
4.614070985427086,4.6469620773563305,3.544242751039268,4.632315503342934,3.783208223485013,-23.89666727682104
2.0679270566608965,2.240355807370752,1.6812170257257475,3.0885074653021585,1.0538422349227434,13.967404417544191
3.2471624351696087,1.3059250492928458,3.3727870230098222,1.5841661767175377,4.816234897423381,-13.01575143414542
3.9010035624371295,4.540351709838873,3.771670768907288,2.0660271939033983,3.916021842585399,-3.545697395573088
3.508144692232382,3.0741098918329977,2.4685812934426488,3.406073476733938,4.238408983432516,-15.460857607364057
4.877654527134473,4.08695615204813,3.551857921271409,2.71934378142272,4.2039852262629065,-21.21856252420457
2.117639870947162,2.8946920884811584,4.783957950249597,4.1164706882677295,2.3249961173533134,36.52368589748517
2.72077600342129,4.6095289088711295,4.977895917377209,3.1794504819286167,4.5425572397246645,-29.900635756690697
3.0053779487952164,4.071948844291849,4.771226947346358,4.498337864636367,1.0675068584054288,68.74259516305152
4.055892940686056,4.088977073198018,3.791380117679071,4.05850300900431,4.652278544595871,-45.71218340286615
4.114415249807506,2.480080318530796,1.7435670491750872,2.007862466676655,3.741553412331188,2.071481126329087
1.6593764283690675,2.368740275439188,4.63731972606276,2.130777495308423,4.771496686060228,-12.437192871727516
4.433398899077828,1.6996362756900147,3.3517231858316454,1.295489104325361,3.5908498223173635,-0.8251963710643387
4.687252560823636,1.0239205758290466,3.1400119283637027,3.1560860741052745,3.194893486168995,2.3246500091693267
4.625626501179392,3.2469159485906665,1.3247823902803355,3.6487901482010736,4.473220108950995,-6.704116301875857
1.764749943808653,4.835795856527961,1.427113331444326,3.496528804562677,1.560748670505863,17.339527363934767
3.695178436202762,1.7570644451459434,2.689701872802728,4.716783839309873,3.168006996096984,5.254512163175976
4.343262187892221,2.8684515065575384,3.2159944743402176,1.9410606179084609,1.8467913745606248,38.54490387280476
3.5062753655263883,1.0229556395629449,2.5896689951021283,3.094150494654288,2.9914395670684075,7.789506993823626
4.304763921910563,2.63801460254286,2.703412308581857,3.0698243537096133,3.0246759220964594,15.523398874783991
1.897832318445804,1.1338189157137544,3.7753223345178992,3.5556960214416304,1.8433919623355288,26.68740206950792
1.6239853985749204,4.069933373316683,2.656419997131566,3.7804833948073937,2.168848589631608,20.087786321115907
2.7612300238542127,3.419334455587404,2.1276079483557275,4.514778323062158,3.879536363695312,-8.402583970980668
1.1075523722878224,4.589576335341691,3.453114434736308,4.546675338360323,1.2199673977027157,21.41279620409929
4.279924089224261,3.1905041092668154,2.477016633042481,2.2548724443550503,2.232543470398432,32.514166487609856
4.410494916370792,2.8269703150894827,4.89197410191751,3.473313110990349,1.8719463314078653,84.03602280229455
2.498692314209276,3.628775453919528,1.2897562555507602,4.298025085910097,4.863492700732498,-4.6262417937491085
4.879912374167564,1.321674299050934,2.2228126376708963,2.4379962925728376,2.561491040492752,20.94454060708896
3.5432656462085768,1.7853490253497788,1.4517333627306708,4.586410272908607,2.2749634233052003,24.30657985741391
4.149028283070107,3.8225882539145952,3.900687315232534,2.0244411087824625,4.55528666104371,-16.500162068474406
2.427384076346557,3.8366929983604754,3.938444942031426,4.960667840484922,4.782178129738104,-37.99600066767079
3.9209336567897406,1.7373023663718747,3.328761777304073,4.025088773491415,3.3453032928125093,-3.8162002989715713
1.2776865761406118,2.560404530860015,2.821179299811427,4.95283170128126,2.7736691147045134,9.692699904245938
2.1185413516986498,4.619614600680231,2.1951529553096045,4.658650311614161,1.1792467191450502,29.81235681545851
1.7088191102900785,1.2750543438741389,2.049443979306705,3.001264353223009,4.8959721701863845,-8.155352827220081
3.0395260809639986,2.164020612655242,3.077794691945128,1.3776039531670756,4.36502948645404,-5.54022929033201
3.020036993580096,4.5168669540521575,1.90264606036762,3.0267756877180703,1.9576056322768849,29.74817569052373
4.903092632045409,2.0396261754752003,2.6736187196068646,3.5769442917372443,3.3628706614140325,-0.2908199088475918
1.086334481332055,4.381947685021451,1.6163804815640828,2.718805292058636,3.859875286447594,1.6185062712479257
3.887616357227401,3.9132583097465545,2.1809985132579754,2.216313314576149,3.906040434377181,2.2066719074574146
3.447693169373403,2.4754465224744617,2.7023264368071698,1.2196218782453307,2.697674105707882,13.414762806098963
2.532763177614088,1.9903403479635904,3.374387233048792,4.545813154286796,4.718882735543172,-33.809020108877085
3.6351564495464985,1.5196734339867355,4.596594225085863,2.7391682708510827,4.420126489853828,-38.304552403256
1.8174008852793089,1.6523461855074777,1.3583561662098278,1.860087287585288,4.381438672741455,-1.339793389158196
2.6400954215327097,1.5519020993968982,4.165569569471304,1.5721240536474397,1.5114065388991715,21.356123483446613
4.477347144150638,3.682292815349564,4.944896031050893,4.0566731969749785,3.7919064706447214,-37.890234095128505
3.905373606549469,4.500682922756603,1.3959570988086871,4.800060195354638,3.922107620069178,-0.8366034851065295
2.936015359204892,3.7248456454369614,3.699930755747791,1.1414103240798523,1.8501882064112225,22.85460558195443
3.131682204071746,2.560577295836634,1.2515645976555811,3.8039575418708655,3.650244492451813,0.7579256999707411
3.5547799246860063,4.279998571027262,2.9831616521153266,4.558624922344036,3.994899957426255,-21.209160152961672
3.5255785266090083,1.7841842926066702,3.921447754293488,2.2107765865329982,4.975207294704424,-23.22498047543244
3.755189661183312,1.4785712083291256,4.577662327498106,4.2884044828713535,3.779418530347727,-38.34286119420486
4.695383781818123,1.8949281041423325,2.1088462984064127,3.4952359959828185,2.170797431101032,37.461662070879285
1.4920936032779537,4.553920968101592,1.2475850447387415,4.037329583383624,4.802794929305488,-0.6899755988961106
2.893008762874162,3.0646513739875294,1.0717140051161405,3.377485412968734,1.7675526090885203,19.1358376529755
4.39685867900929,2.1310408023409777,3.787117499099384,1.7582752867774722,3.5268216363007645,-1.6318659988797886
1.925798534514143,1.7230071546437191,3.522793238098592,1.8292582082137043,2.347762018878134,12.167068729595696
2.6437110669222497,1.3266637956296845,1.0901188216224085,3.2422762584575384,3.9138936105766433,-3.0128651292891067
2.517909633690957,1.2603470765675415,1.1782050483440158,3.0128591829632865,1.1815686545960444,11.442889744283972
