algorithm,family,rows,finite_id_ood_rate,id_ood_explosion_rate_gt_100,median_combined_log_id_ood_nmse,iqr_combined_log_id_ood_nmse
dso,keijzer,6,0.6666666666666666,0.0,-1.7835701605293313,3.66768202030634
dso,korns,9,1.0,0.1111111111111111,-0.20011918457706052,0.5971399403560554
dso,llm-srbench,70,1.0,0.1,-1.0247471284971374,1.3307406189900326
dso,nguyen,6,1.0,0.0,-8.615027539753386,7.803816749195869
dso,srbench1.0,33,1.0,0.0,-1.2117278882238776,2.6700506362725416
dso,srbench2025,6,1.0,0.16666666666666666,-2.3879949651384194,2.68194664218563
dso,srsd,70,1.0,0.014285714285714285,-0.20445297153388559,2.5650201942931874
e2esr,keijzer,6,1.0,0.16666666666666666,-1.1490261591915454,1.991292502811357
e2esr,korns,9,0.8888888888888888,0.0,-0.9962900994614314,2.7431209762641293
e2esr,llm-srbench,70,0.9714285714285714,0.18571428571428572,-1.3517870202791684,2.5108135951531194
e2esr,nguyen,6,1.0,0.0,-2.882236036123235,1.0755952688577808
e2esr,srbench1.0,33,0.9696969696969697,0.06060606060606061,-2.470331460668684,1.7532243759321213
e2esr,srbench2025,6,0.6666666666666666,0.0,-3.1689987223100453,1.0193589411531079
e2esr,srsd,70,0.21428571428571427,0.17142857142857143,12.0,0.33037228748968417
gplearn,keijzer,6,1.0,0.0,-1.0109477305205434,1.781640711996077
gplearn,korns,9,1.0,0.1111111111111111,-0.5793552165070928,2.742472416114941
gplearn,llm-srbench,70,1.0,0.12857142857142856,-0.8322602660439959,1.711146630159034
gplearn,nguyen,6,1.0,0.0,-2.365172383545181,0.9653932949688611
gplearn,srbench1.0,33,1.0,0.030303030303030304,-1.5442579928082085,1.4896805131821267
gplearn,srbench2025,6,1.0,0.0,-2.619917954185002,2.5494787771255463
gplearn,srsd,70,1.0,0.24285714285714285,-0.00018199611500074555,1.5964493938880064
imcts,keijzer,6,0.8333333333333334,0.0,-2.4353323587873588,2.775593406989962
imcts,korns,9,1.0,0.2222222222222222,-0.25205272235354464,1.299170682102981
imcts,llm-srbench,70,1.0,0.04285714285714286,-1.4000863874979865,1.5123062206927975
imcts,nguyen,6,1.0,0.0,-12.0,0.0
imcts,srbench1.0,33,1.0,0.0,-1.474230827718899,2.5548608453430033
imcts,srbench2025,6,1.0,0.16666666666666666,-2.8628479952404557,3.057046534719877
imcts,srsd,70,0.9857142857142858,0.07142857142857142,-1.0825617007923705,11.95974981717239
pyoperon,keijzer,6,1.0,0.0,-0.591452241398984,1.2782232041308028
