host_label,dataset_name,dataset_dir,seed,task_status,result_status,task_seconds,progress_exists,progress_records,first_iteration,last_iteration,max_iteration,progress_error,experiment_dir
anon-node-05,BPG0,sim-datasets-data/llm-srbench/bio_pop_growth/BPG0,1314,ok,ok,3610.404,True,116,3,118,118,,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/probe_stage1_llmsr_seed1314_20260416-130056/anon-node-05/llmsr/llmsr/BPG0/experiments/BPG0_llmsr_seed1314_20260416-130205
anon-node-05,BPG1,sim-datasets-data/llm-srbench/bio_pop_growth/BPG1,1314,ok,ok,3609.88,True,104,1,104,104,,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/probe_stage1_llmsr_seed1314_20260416-130056/anon-node-05/llmsr/llmsr/BPG1/experiments/BPG1_llmsr_seed1314_20260416-130204
anon-node-05,BPG10,sim-datasets-data/llm-srbench/bio_pop_growth/BPG10,1314,ok,ok,3610.138,True,108,1,108,108,,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/probe_stage1_llmsr_seed1314_20260416-130056/anon-node-05/llmsr/llmsr/BPG10/experiments/BPG10_llmsr_seed1314_20260416-130205
anon-node-05,BPG11,sim-datasets-data/llm-srbench/bio_pop_growth/BPG11,1314,ok,ok,3610.62,True,120,1,120,120,,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/probe_stage1_llmsr_seed1314_20260416-130056/anon-node-05/llmsr/llmsr/BPG11/experiments/BPG11_llmsr_seed1314_20260416-130205
anon-node-05,BPG12,sim-datasets-data/llm-srbench/bio_pop_growth/BPG12,1314,ok,ok,3610.237,True,122,2,123,123,,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/probe_stage1_llmsr_seed1314_20260416-130056/anon-node-05/llmsr/llmsr/BPG12/experiments/BPG12_llmsr_seed1314_20260416-130205
anon-node-05,BPG13,sim-datasets-data/llm-srbench/bio_pop_growth/BPG13,1314,ok,ok,3610.108,True,126,2,127,127,,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/probe_stage1_llmsr_seed1314_20260416-130056/anon-node-05/llmsr/llmsr/BPG13/experiments/BPG13_llmsr_seed1314_20260416-130205
anon-node-05,BPG14,sim-datasets-data/llm-srbench/bio_pop_growth/BPG14,1314,ok,ok,3610.154,True,125,1,125,125,,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/probe_stage1_llmsr_seed1314_20260416-130056/anon-node-05/llmsr/llmsr/BPG14/experiments/BPG14_llmsr_seed1314_20260416-130205
anon-node-05,BPG15,sim-datasets-data/llm-srbench/bio_pop_growth/BPG15,1314,ok,ok,3610.755,True,117,2,118,118,,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/probe_stage1_llmsr_seed1314_20260416-130056/anon-node-05/llmsr/llmsr/BPG15/experiments/BPG15_llmsr_seed1314_20260416-130205
anon-node-05,BPG16,sim-datasets-data/llm-srbench/bio_pop_growth/BPG16,1314,ok,ok,3610.382,True,115,2,116,116,,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/probe_stage1_llmsr_seed1314_20260416-130056/anon-node-05/llmsr/llmsr/BPG16/experiments/BPG16_llmsr_seed1314_20260416-130204
anon-node-05,BPG17,sim-datasets-data/llm-srbench/bio_pop_growth/BPG17,1314,ok,ok,3610.374,True,108,2,109,109,,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/probe_stage1_llmsr_seed1314_20260416-130056/anon-node-05/llmsr/llmsr/BPG17/experiments/BPG17_llmsr_seed1314_20260416-130205
anon-node-05,BPG18,sim-datasets-data/llm-srbench/bio_pop_growth/BPG18,1314,ok,ok,3609.834,True,124,1,124,124,,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/probe_stage1_llmsr_seed1314_20260416-130056/anon-node-05/llmsr/llmsr/BPG18/experiments/BPG18_llmsr_seed1314_20260416-130205
