j,rho_c_0,q,A_vec,m
-54.94228744506836,1.46021831035614,4.33936882019043,4.956046104431152,0.5715745687484741
-4.728662967681885,3.4362661838531494,1.4191844463348389,3.198179006576538,3.2982990741729736
-23.790159225463867,1.5335638523101809,3.9785618782043457,2.1257891654968266,0.5451937317848204
-35.410354614257805,1.962358474731445,2.4420032501220703,1.3091582059860227,0.1771684885025024
-73.9864501953125,2.3085563182830806,2.4372434616088867,2.7778780460357666,0.211251750588417
-73.98855590820312,4.436550140380859,3.436953544616699,2.891231775283813,0.595850646495819
-82.52149200439453,3.664360761642456,2.57511830329895,1.1940879821777344,0.1365415006875991
-12.09617042541504,3.1646487712860107,2.6362905502319336,1.653297781944275,1.1403075456619265
-35.196266174316406,1.116055250167847,3.039609670639038,1.4638028144836426,0.1410878151655197
-25.874908447265625,3.9349932670593266,3.8405919075012207,3.5095667839050293,2.0498251914978027
-85.78954315185547,2.579800128936768,4.842104911804199,4.424728393554688,0.644276738166809
-3.055769681930542,4.208188533782959,2.826484441757202,3.600409746170044,14.01435375213623
-15.03604793548584,2.0176844596862797,2.710606098175049,4.962886810302734,1.805179238319397
-69.07811737060547,1.2275397777557373,1.45385479927063,2.881402969360352,0.0744423568248748
-71.7374267578125,4.466594696044922,1.8715955018997192,3.473177909851074,0.4047340750694274
-61.06875228881836,2.6199576854705806,4.773402690887451,4.904013156890869,1.0042803287506104
-41.85092544555664,2.2643859386444087,4.527297019958496,3.6922719478607178,0.904436469078064
-49.93944549560546,1.3066507577896118,3.5856423377990723,2.7621235847473145,0.2591348886489868
-62.20284652709961,4.372898578643799,1.8552992343902588,2.1587493419647217,0.281562864780426
-34.260459899902344,4.395756721496582,3.547327995300293,3.0387988090515137,1.3830686807632446
-75.4265899658203,4.8858604431152335,1.5565849542617798,1.4498435258865356,0.1461876183748245
-62.1230583190918,2.5415077209472656,2.8348162174224854,1.9078191518783567,0.2212588787078857
-55.65502548217773,4.817952632904053,4.495452880859375,2.9142091274261475,1.134102463722229
-47.836952209472656,2.78303337097168,2.033801317214966,1.9710326194763184,0.2332154065370559
-19.15534210205078,3.678898572921753,3.6594042778015137,2.5519301891326904,1.7935235500335691
-70.18190002441406,1.3300001621246338,4.450697422027588,4.275493621826172,0.3606126010417938
-42.76791763305664,4.588394165039063,1.5953922271728516,1.2981631755828855,0.2221976071596145
-35.95451354980469,2.1920139789581294,3.2517998218536377,4.692598342895508,0.9303086996078492
