E_n,h,omega,kb,T
9.1554737091064453,1.4602183103561401,4.3393688201904297,4.9560461044311523,1.947304368019104
22.73670768737793,3.4362661838531494,1.4191844463348389,3.1981790065765381,7.2299308776855469
17.581161499023438,1.5335638523101807,3.9785618782043457,2.1257891654968262,8.4967708587646484
14.438258171081543,1.9623584747314453,2.4420032501220703,1.3091582059860229,11.317446708679199
4.004615306854248,2.3085563182830811,2.4372434616088867,2.7778780460357666,1.5973738431930542
4.0040469169616699,4.4365501403808594,3.4369535446166992,2.8912317752838135,1.7715623378753662
1.6961492300033569,3.6643607616424561,2.5751183032989502,1.1940879821777344,1.9832853078842163
20.744024276733398,3.1646487712860107,2.6362905502319336,1.6532977819442749,12.944473266601562
14.496162414550781,1.1160552501678467,3.0396096706390381,1.4638028144836426,10.086380958557129
17.017301559448242,3.9349932670593262,3.8405919075012207,3.5095667839050293,5.1839566230773926
0.81224238872528076,2.5798001289367676,4.8421049118041992,4.4247283935546875,0.36302605271339417
23.189174652099609,4.208188533782959,2.8264844417572021,3.6004097461700439,6.700160026550293
19.948879241943359,2.0176844596862793,2.7106060981750488,4.9628868103027344,4.1066827774047852
5.3321681022644043,1.2275397777557373,1.4538547992706299,2.8814029693603516,1.8994076251983643
4.6129069328308105,4.4665946960449219,1.8715955018997192,3.4731779098510742,1.5116068124771118
4.6501388549804688,1.8841159343719482,4.8298883438110352,2.1306688785552979,2.5070130825042725
7.4984540939331055,2.6199576854705811,4.7734026908874512,4.9040131568908691,1.7240259647369385
12.696283340454102,2.2643859386444092,4.5272970199584961,3.6922719478607178,3.6551048755645752
10.508587837219238,1.3066507577896118,3.5856423377990723,2.7621235847473145,3.9379711151123047
7.1917166709899902,4.3728985786437988,1.8552992343902588,2.1587493419647217,3.6222693920135498
14.749268531799316,4.395756721496582,3.547327995300293,3.0387988090515137,5.2514123916625977
3.6151032447814941,4.8858604431152344,1.5565849542617798,1.4498435258865356,2.8908085823059082
7.2132964134216309,2.5415077209472656,2.8348162174224854,1.9078191518783569,4.074042797088623
8.9626998901367188,4.8179526329040527,4.495452880859375,2.9142091274261475,3.6349291801452637
11.07724666595459,2.7830333709716797,2.0338013172149658,1.9710326194763184,5.8455638885498047
18.834737777709961,3.6788985729217529,3.6594042778015137,2.5519301891326904,7.7928552627563477
5.0336284637451172,1.3300001621246338,4.4506974220275879,4.2754936218261719,1.2843472957611084
12.448265075683594,4.5883941650390625,1.5953922271728516,1.2981631755828857,10.031181335449219
14.291080474853516,2.1920139789581299,3.2517998218536377,4.6925983428955078,3.1647899150848389
1.421938419342041,2.0492193698883057,1.6366209983825684,1.8995842933654785,0.8815988302230835
14.647722244262695,1.0205181837081909,1.6915796995162964,3.8254859447479248,3.8647823333740234
4.3465299606323242,3.1728100776672363,1.4160917997360229,1.442261815071106,3.2553024291992188
1.8603943586349487,2.9023854732513428,1.8117504119873047,3.4040164947509766,0.66186445951461792
22.693601608276367,3.5454947948455811,2.8207571506500244,2.6271700859069824,8.9375495910644531
23.088340759277344,4.9128165245056152,4.1782994270324707,4.3473176956176758,5.678403377532959
19.382097244262695,4.6346511840820312,4.9632906913757324,2.0001215934753418,10.579290390014648
7.5072112083435059,4.6406121253967285,4.2200689315795898,2.8309519290924072,3.1705300807952881
2.6293058395385742,3.1010227203369141,2.5096616744995117,3.2297308444976807,0.99354255199432373
