core60_rank,dataset_id,dataset_name,dataset_rel,family,subgroup,metadata_class,basename,semantic_duplicate_group,formula_hash,feature_count,total_samples,operator_group,difficulty_bin,failure_mode,winner_probe,eligible_class,compatibility_score,selection_score_simple,info_score,discrimination_score,stability_score,in_previous_core,new_at_size
1,g0625,Keijzer-2,sim-datasets-data/keijzer/Keijzer-2,keijzer,keijzer,keijzer,Keijzer-2,keijzer/keijzer/Keijzer-2,f958063eace707c8,1,4452,polynomial,medium,one_method_wins,imcts,eligible,0.9366870903117839,0.6209169709225306,0.4537871445335827,0.51973208439436,0.8731174352308413,True,False
2,g0620,Keijzer-11,sim-datasets-data/keijzer/Keijzer-11,keijzer,keijzer,keijzer,Keijzer-11,keijzer/keijzer/Keijzer-11,072e564f1e63a7cd,2,361421,polynomial,medium,one_method_wins,imcts,eligible,0.9244638482721471,0.6204753566685681,0.4674813334212155,0.5650356912506074,0.8273483262385207,True,False
3,g0649,Korns-2,sim-datasets-data/korns/Korns-2,korns,korns,korns,Korns-2,korns/korns/Korns-2,638687bf99a4969f,5,1200,polynomial,medium,all_good,udsr,eligible,0.9413596991696015,0.7977349384933405,0.7041807199219184,0.790962832310752,0.8902829452361185,True,False
4,g0651,Korns-4,sim-datasets-data/korns/Korns-4,korns,korns,korns,Korns-4,korns/korns/Korns-4,d25ca3d2799a6a56,5,1200,polynomial,easy,all_good,imcts,eligible,0.9141056860303062,0.6922846695256879,0.5294965017738668,0.5525932925148823,0.9582029115194272,True,False
5,g0018,BPG3,sim-datasets-data/llm-srbench/bio_pop_growth/BPG3,llm-srbench,bio_pop_growth,bio_pop_growth,BPG3,llm-srbench/bio_pop_growth/BPG3,ff2fee908d845cef,2,5000,exponential_log,hard,ood_failure,udsr,eligible,0.9501653605406027,0.806350238523738,0.7382394612407496,0.95,0.7770941697271049,True,False
6,g0024,BPG9,sim-datasets-data/llm-srbench/bio_pop_growth/BPG9,llm-srbench,bio_pop_growth,bio_pop_growth,BPG9,llm-srbench/bio_pop_growth/BPG9,269973150b1c69a6,2,5000,exponential_log,extreme,ood_failure,udsr,limited_quota,0.9344400782780883,0.7132516257997878,0.6093595993979404,0.7828223139169457,0.7784136815785645,True,False
7,g0020,BPG5,sim-datasets-data/llm-srbench/bio_pop_growth/BPG5,llm-srbench,bio_pop_growth,bio_pop_growth,BPG5,llm-srbench/bio_pop_growth/BPG5,d65614fbdbc93cca,2,5000,rational,hard,ood_failure,udsr,eligible,0.8766952342551982,0.5471523287108977,0.3382096463414518,0.3765696506622102,0.8981330432410018,True,False
8,g0053,CRK34,sim-datasets-data/llm-srbench/chem_react/CRK34,llm-srbench,chem_react,chem_react,CRK34,llm-srbench/chem_react/CRK34,3ccc9f018c903e78,2,5000,polynomial,hard,ood_failure,udsr,eligible,0.9595967035222793,0.7410275113524336,0.6222179629465654,0.6994134656772892,0.8896282291963449,True,False
9,g0028,CRK11,sim-datasets-data/llm-srbench/chem_react/CRK11,llm-srbench,chem_react,chem_react,CRK11,llm-srbench/chem_react/CRK11,2998593a16a01b4c,2,5000,trigonometric,extreme,ood_failure,udsr,limited_quota,0.9464560180912286,0.7660470222009308,0.6805462719360355,0.8625867725846471,0.7889597818627021,True,False
10,g0027,CRK10,sim-datasets-data/llm-srbench/chem_react/CRK10,llm-srbench,chem_react,chem_react,CRK10,llm-srbench/chem_react/CRK10,3ddea9094734ff88,2,5000,mixed_elementary,extreme,ood_failure,udsr,limited_quota,0.9456163029226139,0.7204709675210582,0.6236925894516139,0.8264259184169673,0.7546866277455425,True,False
11,g0025,CRK0,sim-datasets-data/llm-srbench/chem_react/CRK0,llm-srbench,chem_react,chem_react,CRK0,llm-srbench/chem_react/CRK0,74e85e4459b19e86,2,5000,rational,hard,ood_failure,udsr,eligible,0.9321048512931651,0.6318690033033545,0.479625505427648,0.5704795926052472,0.8407408637306555,True,False
12,g0052,CRK33,sim-datasets-data/llm-srbench/chem_react/CRK33,llm-srbench,chem_react,chem_react,CRK33,llm-srbench/chem_react/CRK33,6f001cf91f17f8df,2,5000,mixed_elementary,extreme,ood_failure,udsr,limited_quota,0.9124532609326562,0.6132191003230141,0.4916472171340091,0.7162937847698638,0.6863764946557077,True,False
13,g0151,II.6.15b_3_0,sim-datasets-data/llm-srbench/lsrtransform/II.6.15b_3_0,llm-srbench,lsrtransform,lsrtransform,II.6.15b_3_0,llm-srbench/lsrtransform/II.6.15b_3_0,df9bfc4d376026f0,4,66522,trigonometric,hard,all_good,pyoperon,eligible,0.9226846455757226,0.3193926339664484,0.0041876923653488,0.0046306967163556,0.9043331105139926,True,False
14,g0168,III.21.20_3_0,sim-datasets-data/llm-srbench/lsrtransform/III.21.20_3_0,llm-srbench,lsrtransform,lsrtransform,III.21.20_3_0,llm-srbench/lsrtransform/III.21.20_3_0,3c59916c987ceeff,4,120000,rational,easy,all_good,udsr,eligible,0.9034332753001713,0.7244315550714988,0.5672141681598453,0.5742353542604142,0.9877729818471176,True,False
15,g0130,II.34.2_1_0,sim-datasets-data/llm-srbench/lsrtransform/II.34.2_1_0,llm-srbench,lsrtransform,lsrtransform,II.34.2_1_0,llm-srbench/lsrtransform/II.34.2_1_0,0f6f62d6976be405,3,120000,rational,easy,all_good,dso,eligible,0.8860553855612979,0.6676015701814737,0.5105806771955089,0.5634015852794747,0.9062464333362428,True,False
16,g0105,II.11.27_1_0,sim-datasets-data/llm-srbench/lsrtransform/II.11.27_1_0,llm-srbench,lsrtransform,lsrtransform,II.11.27_1_0,llm-srbench/lsrtransform/II.11.27_1_0,e403f4226bf95175,4,120000,rational,medium,one_method_wins,udsr,eligible,0.845833213512546,0.633710302399606,0.452025794629903,0.4847875409766938,0.9324204036250884,True,False
17,g0066,I.11.19_4_0,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_4_0,llm-srbench,lsrtransform,lsrtransform,I.11.19_4_0,llm-srbench/lsrtransform/I.11.19_4_0,c1df377c9254d95b,6,120000,rational,medium,one_method_wins,udsr,eligible,0.8396860709622717,0.639129097054072,0.4656596961001828,0.5082140040313511,0.9162669513362266,True,False
18,g0184,MatSci21,sim-datasets-data/llm-srbench/matsci/MatSci21,llm-srbench,matsci,matsci,MatSci21,llm-srbench/matsci/MatSci21,29a5a71508fb5ba3,2,5000,polynomial,medium,all_good,udsr,eligible,0.8016037991717734,0.36794732364505167,0.1124978948008464,0.1366297190498773,0.8233779267289467,True,False
19,g0208,PO19,sim-datasets-data/llm-srbench/phys_osc/PO19,llm-srbench,phys_osc,phys_osc,PO19,llm-srbench/phys_osc/PO19,3af4cc2533a0afd5,3,5000,exponential_log,hard,ood_failure,imcts,eligible,0.8850310204260766,0.5107754502786946,0.2815036503011792,0.3101477850865222,0.9076435939165192,True,False
20,g0233,PO41,sim-datasets-data/llm-srbench/phys_osc/PO41,llm-srbench,phys_osc,phys_osc,PO41,llm-srbench/phys_osc/PO41,7a1764f4b4788349,3,5000,exponential_log,hard,ood_failure,imcts,eligible,0.8487136348257068,0.4485982836808284,0.2208297863546982,0.263873143502733,0.8368785978873632,True,False
21,g0636,Nguyen-12,sim-datasets-data/nguyen/Nguyen-12,nguyen,nguyen,nguyen,Nguyen-12,nguyen/nguyen/Nguyen-12,d88277d172cb1a06,2,220,polynomial,medium,ood_failure,imcts,eligible,0.931023994018468,0.6288489823058623,0.4487358733454927,0.4868954591783466,0.9216267370879788,True,False
22,g0641,Nguyen-6,sim-datasets-data/nguyen/Nguyen-6,nguyen,nguyen,nguyen,Nguyen-6,nguyen/nguyen/Nguyen-6,74e7a59e7ee07d7a,1,220,polynomial,easy,ood_failure,dso,eligible,0.8929397527361419,0.5860557186940578,0.4083732165095656,0.4752564245218135,0.8592692185496631,True,False
23,g0644,Nguyen-9,sim-datasets-data/nguyen/Nguyen-9,nguyen,nguyen,nguyen,Nguyen-9,nguyen/nguyen/Nguyen-9,2436737a16bbad17,2,220,polynomial,easy,all_good,imcts,eligible,0.8551041291512527,0.6201520184581854,0.4497240064125454,0.5098633461453964,0.8820481209572942,True,False
