tool,timeout_seconds,non_time_caps
drsr,86400,timeout_in_seconds=86400; niterations=2000000
dso,86400,timeout_in_seconds=86400; training.n_samples=200000000; training.batch_size=1000
e2esr,86400,timeout_in_seconds=86400; max_number_bags=10000000
gplearn,86400,timeout_in_seconds=86400; generations=10000000
imcts,86400,timeout_in_seconds=86400; max_expressions=1000000000; budget_chunks=10000000
llmsr,86400,timeout_in_seconds=86400; niterations=2000000
pyoperon,86400,timeout_in_seconds=86400; max_time=86400; generations=10000000; max_evaluations=5000000000
pysr,86400,timeout_in_seconds=86400; niterations=100000000
qlattice,86400,timeout_in_seconds=86400; n_epochs=10000000
ragsr,86400,timeout_in_seconds=86400; time_limit=86395; n_gen=10000000
tpsr,86400,timeout_in_seconds=86400; budget_steps=100000000; max_number_bags=10000000
udsr,86400,timeout_in_seconds=86400; training.n_samples=200000000; training.batch_size=1000; gp_meld.generations=20
